id,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre,batch,filename
v4_villain_shonen_015,villain,shonen,horror,cooking,pirate,4,241__v4_villain_shonen_015.png
v4_villain_shonen_016,villain,shonen,romance,idol,cooking,4,242__v4_villain_shonen_016.png
v4_villain_shonen_017,villain,shonen,romance,supernatural,magical,4,243__v4_villain_shonen_017.png
v4_villain_shonen_018,villain,shonen,sports,cyber,magical,4,244__v4_villain_shonen_018.png
v4_villain_shonen_019,villain,shonen,sports,military,space,4,245__v4_villain_shonen_019.png
v4_villain_shonen_020,villain,shonen,sports,survival,nordic,4,246__v4_villain_shonen_020.png
v4_villain_shonen_021,villain,shonen,cyber,mystery,nordic,4,247__v4_villain_shonen_021.png
v4_villain_shonen_022,villain,shonen,fantasy,comedy,space,4,248__v4_villain_shonen_022.png
v4_villain_shonen_023,villain,shonen,idol,comedy,survival,4,249__v4_villain_shonen_023.png
v4_villain_shonen_024,villain,shonen,mystery,magical,shinobi,4,250__v4_villain_shonen_024.png
v4_villain_shonen_025,villain,shonen,mystery,mythology,samurai,4,251__v4_villain_shonen_025.png
v4_villain_shonen_026,villain,shonen,military,supernatural,shinobi,4,252__v4_villain_shonen_026.png
v4_villain_shonen_027,villain,shonen,supernatural,space,survival,4,253__v4_villain_shonen_027.png
v4_villain_shonen_028,villain,shonen,space,magical,pirate,4,254__v4_villain_shonen_028.png
v4_villain_shonen_029,villain,shonen,magical,martial,samurai,4,255__v4_villain_shonen_029.png
v4_villain_shonen_030,villain,shonen,mythology,nordic,shinobi,4,256__v4_villain_shonen_030.png
v4_villain_shonen_031,villain,shonen,mecha,fantasy,survival,4,257__v4_villain_shonen_031.png
v4_villain_shonen_032,villain,shonen,horror,idol,mystery,4,258__v4_villain_shonen_032.png
v4_villain_shonen_033,villain,shonen,slice,sports,samurai,4,259__v4_villain_shonen_033.png
v4_villain_shonen_034,villain,shonen,idol,military,nordic,4,260__v4_villain_shonen_034.png
v4_villain_shonen_035,villain,shonen,military,pirate,mythology,4,261__v4_villain_shonen_035.png
v4_villain_shonen_036,villain,shonen,horror,supernatural,samurai,4,262__v4_villain_shonen_036.png
v4_villain_shonen_037,villain,shonen,mecha,pirate,romance,4,263__v4_villain_shonen_037.png
v4_villain_shonen_038,villain,shonen,isekai,mythology,cooking,4,264__v4_villain_shonen_038.png
v4_villain_shojo_001,villain,shojo,mecha,slice,cyber,4,265__v4_villain_shojo_001.png
v4_villain_shojo_002,villain,shojo,mecha,horror,space,4,266__v4_villain_shojo_002.png
v4_villain_shojo_003,villain,shojo,mecha,sports,comedy,4,267__v4_villain_shojo_003.png
v4_villain_shojo_004,villain,shojo,mecha,cooking,magical,4,268__v4_villain_shojo_004.png
v4_villain_shojo_005,villain,shojo,isekai,supernatural,cyber,4,269__v4_villain_shojo_005.png
v4_villain_shojo_006,villain,shojo,isekai,cooking,military,4,270__v4_villain_shojo_006.png
v4_villain_shojo_007,villain,shojo,isekai,magical,survival,4,271__v4_villain_shojo_007.png
v4_villain_shojo_008,villain,shojo,slice,horror,magical,4,272__v4_villain_shojo_008.png
v4_villain_shojo_009,villain,shojo,slice,fantasy,cooking,4,273__v4_villain_shojo_009.png
v4_villain_shojo_010,villain,shojo,slice,comedy,samurai,4,274__v4_villain_shojo_010.png
v4_villain_shojo_011,villain,shojo,horror,cyber,samurai,4,275__v4_villain_shojo_011.png
v4_villain_shojo_012,villain,shojo,horror,fantasy,martial,4,276__v4_villain_shojo_012.png
v4_villain_shojo_013,villain,shojo,horror,survival,shinobi,4,277__v4_villain_shojo_013.png
v4_villain_shojo_014,villain,shojo,sports,mystery,pirate,4,278__v4_villain_shojo_014.png
v4_villain_shojo_015,villain,shojo,sports,cooking,martial,4,279__v4_villain_shojo_015.png
v4_villain_shojo_016,villain,shojo,sports,supernatural,mythology,4,280__v4_villain_shojo_016.png
v4_villain_shojo_017,villain,shojo,cyber,fantasy,mythology,4,281__v4_villain_shojo_017.png
v4_villain_shojo_018,villain,shojo,cyber,comedy,pirate,4,282__v4_villain_shojo_018.png
v4_villain_shojo_019,villain,shojo,cyber,cooking,shinobi,4,283__v4_villain_shojo_019.png
v4_villain_shojo_020,villain,shojo,cyber,space,martial,4,284__v4_villain_shojo_020.png
v4_villain_shojo_021,villain,shojo,fantasy,idol,supernatural,4,285__v4_villain_shojo_021.png
v4_villain_shojo_022,villain,shojo,fantasy,mystery,survival,4,286__v4_villain_shojo_022.png
v4_villain_shojo_023,villain,shojo,idol,space,samurai,4,287__v4_villain_shojo_023.png
v4_villain_shojo_024,villain,shojo,idol,magical,mythology,4,288__v4_villain_shojo_024.png
v4_villain_shojo_025,villain,shojo,mystery,cooking,space,4,289__v4_villain_shojo_025.png
v4_villain_shojo_026,villain,shojo,comedy,cooking,supernatural,4,290__v4_villain_shojo_026.png
v4_villain_shojo_027,villain,shojo,comedy,military,martial,4,291__v4_villain_shojo_027.png
v4_villain_shojo_028,villain,shojo,comedy,magical,nordic,4,292__v4_villain_shojo_028.png
v4_villain_shojo_029,villain,shojo,cooking,survival,samurai,4,293__v4_villain_shojo_029.png
v4_villain_shojo_030,villain,shojo,supernatural,pirate,martial,4,294__v4_villain_shojo_030.png
v4_villain_shojo_031,villain,shojo,survival,pirate,mythology,4,295__v4_villain_shojo_031.png
v4_villain_shojo_032,villain,shojo,romance,military,samurai,4,296__v4_villain_shojo_032.png
v4_villain_shojo_033,villain,shojo,horror,sports,idol,4,297__v4_villain_shojo_033.png
v4_villain_shojo_034,villain,shojo,romance,fantasy,nordic,4,298__v4_villain_shojo_034.png
v4_villain_shojo_035,villain,shojo,isekai,cyber,idol,4,299__v4_villain_shojo_035.png
v4_villain_shojo_036,villain,shojo,idol,pirate,shinobi,4,300__v4_villain_shojo_036.png
v4_villain_shojo_037,villain,shojo,mystery,comedy,military,4,301__v4_villain_shojo_037.png
v4_villain_shojo_038,villain,shojo,comedy,mythology,shinobi,4,302__v4_villain_shojo_038.png
v4_villain_shojo_039,villain,shojo,mecha,military,magical,4,303__v4_villain_shojo_039.png
v4_villain_shojo_040,villain,shojo,space,nordic,pirate,4,304__v4_villain_shojo_040.png
