sequence,batch_code,sheet_code,sheet_position,character_id,filename_png,name,epithet,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre
1,B01,S01,R1C1,g30_protag_shonen_001,g30_protag_shonen_001.png,Cassian Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,kaiju
2,B01,S01,R1C2,g30_protag_shonen_002,g30_protag_shonen_002.png,Ren Locke,The Ashen Viper,protag,shonen,monster_taming,cosmic_horror,arabia
3,B01,S01,R1C3,g30_protag_shonen_003,g30_protag_shonen_003.png,Soraya Mirren,The Cinder Corsair,protag,shonen,crime,cosmic_horror,mecha
4,B01,S01,R1C4,g30_protag_shonen_004,g30_protag_shonen_004.png,Nadia Crowe,The Ashen Viper,protag,shonen,kaiju,arabia,mecha
5,B01,S01,R1C5,g30_protag_shonen_005,g30_protag_shonen_005.png,Asha Locke,The Cinder Corsair,protag,shonen,crime,arabia,isekai
6,B01,S01,R2C1,g30_protag_shonen_006,g30_protag_shonen_006.png,Lio Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,isekai
7,B01,S01,R2C2,g30_protag_shonen_007,g30_protag_shonen_007.png,Kael Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,slice
8,B01,S01,R2C3,g30_protag_shonen_008,g30_protag_shonen_008.png,Soren Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,slice
9,B01,S01,R2C4,g30_protag_shonen_009,g30_protag_shonen_009.png,Riven Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,horror
10,B01,S01,R2C5,g30_protag_shonen_010,g30_protag_shonen_010.png,Darian Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,horror
11,B01,S02,R1C1,g30_protag_shonen_011,g30_protag_shonen_011.png,Yara Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,romance
12,B01,S02,R1C2,g30_protag_shonen_012,g30_protag_shonen_012.png,Selene Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,romance
13,B01,S02,R1C3,g30_protag_shonen_013,g30_protag_shonen_013.png,Kestrel Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,sports
14,B01,S02,R1C4,g30_protag_shonen_014,g30_protag_shonen_014.png,Jin Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,sports
15,B01,S02,R1C5,g30_protag_shonen_015,g30_protag_shonen_015.png,Aziel Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,cyber
16,B01,S02,R2C1,g30_protag_shonen_016,g30_protag_shonen_016.png,Cassian Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,cyber
17,B01,S02,R2C2,g30_protag_shonen_017,g30_protag_shonen_017.png,Ren Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,fantasy
18,B01,S02,R2C3,g30_protag_shonen_018,g30_protag_shonen_018.png,Soraya Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,fantasy
