sequence,batch_code,sheet_code,sheet_position,character_id,filename_png,name,epithet,role,anime_type,visible_genre_1,visible_genre_2,hidden_genre,staging_filename_webp
1,B01,S01,R1C1,g30_protag_shonen_001,g30_protag_shonen_001.png,Cassian Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,kaiju,g30_protag_shonen_001.webp
2,B01,S01,R1C2,g30_protag_shonen_002,g30_protag_shonen_002.png,Ren Locke,The Ashen Viper,protag,shonen,monster_taming,cosmic_horror,arabia,g30_protag_shonen_002.webp
3,B01,S01,R1C3,g30_protag_shonen_003,g30_protag_shonen_003.png,Soraya Mirren,The Cinder Corsair,protag,shonen,crime,cosmic_horror,mecha,g30_protag_shonen_003.webp
4,B01,S01,R1C4,g30_protag_shonen_004,g30_protag_shonen_004.png,Nadia Crowe,The Ashen Viper,protag,shonen,kaiju,arabia,mecha,g30_protag_shonen_004.webp
5,B01,S01,R1C5,g30_protag_shonen_005,g30_protag_shonen_005.png,Asha Locke,The Cinder Corsair,protag,shonen,crime,arabia,isekai,g30_protag_shonen_005.webp
6,B01,S01,R2C1,g30_protag_shonen_006,g30_protag_shonen_006.png,Lio Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,isekai,g30_protag_shonen_006.webp
7,B01,S01,R2C2,g30_protag_shonen_007,g30_protag_shonen_007.png,Kael Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,slice,g30_protag_shonen_007.webp
8,B01,S01,R2C3,g30_protag_shonen_008,g30_protag_shonen_008.png,Soren Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,slice,g30_protag_shonen_008.webp
9,B01,S01,R2C4,g30_protag_shonen_009,g30_protag_shonen_009.png,Riven Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,horror,g30_protag_shonen_009.webp
10,B01,S01,R2C5,g30_protag_shonen_010,g30_protag_shonen_010.png,Darian Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,horror,g30_protag_shonen_010.webp
11,B01,S02,R1C1,g30_protag_shonen_011,g30_protag_shonen_011.png,Yara Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,romance,g30_protag_shonen_011.webp
12,B01,S02,R1C2,g30_protag_shonen_012,g30_protag_shonen_012.png,Selene Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,romance,g30_protag_shonen_012.webp
13,B01,S02,R1C3,g30_protag_shonen_013,g30_protag_shonen_013.png,Kestrel Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,sports,g30_protag_shonen_013.webp
14,B01,S02,R1C4,g30_protag_shonen_014,g30_protag_shonen_014.png,Jin Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,sports,g30_protag_shonen_014.webp
15,B01,S02,R1C5,g30_protag_shonen_015,g30_protag_shonen_015.png,Aziel Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,cyber,g30_protag_shonen_015.webp
16,B01,S02,R2C1,g30_protag_shonen_016,g30_protag_shonen_016.png,Cassian Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,cyber,g30_protag_shonen_016.webp
17,B01,S02,R2C2,g30_protag_shonen_017,g30_protag_shonen_017.png,Ren Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,fantasy,g30_protag_shonen_017.webp
18,B01,S02,R2C3,g30_protag_shonen_018,g30_protag_shonen_018.png,Soraya Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,fantasy,g30_protag_shonen_018.webp
19,B01,S02,R2C4,g30_protag_shonen_019,g30_protag_shonen_019.png,Nadia Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,idol,g30_protag_shonen_019.webp
20,B01,S02,R2C5,g30_protag_shonen_020,g30_protag_shonen_020.png,Asha Locke,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,idol,g30_protag_shonen_020.webp
21,B01,S03,R1C1,g30_protag_shonen_021,g30_protag_shonen_021.png,Lio Mirren,The Cinder Corsair,protag,shonen,monster_taming,crime,mystery,g30_protag_shonen_021.webp
22,B01,S03,R1C2,g30_protag_shonen_022,g30_protag_shonen_022.png,Kael Crowe,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,mystery,g30_protag_shonen_022.webp
23,B01,S03,R1C3,g30_protag_shonen_023,g30_protag_shonen_023.png,Soren Locke,The Cinder Corsair,protag,shonen,monster_taming,crime,comedy,g30_protag_shonen_023.webp
24,B01,S03,R1C4,g30_protag_shonen_024,g30_protag_shonen_024.png,Riven Mirren,The Ashen Viper,protag,shonen,kaiju,cosmic_horror,comedy,g30_protag_shonen_024.webp
25,B01,S03,R1C5,g30_protag_shonen_025,g30_protag_shonen_025.png,Darian Crowe,The Cinder Corsair,protag,shonen,monster_taming,crime,cooking,g30_protag_shonen_025.webp
