sheet_code,panel_position,character_id,output_filename
S01,R1C1,g30_protag_shonen_001,g30_protag_shonen_001.png
S01,R1C2,g30_protag_shonen_002,g30_protag_shonen_002.png
S01,R1C3,g30_protag_shonen_003,g30_protag_shonen_003.png
S01,R1C4,g30_protag_shonen_004,g30_protag_shonen_004.png
S01,R1C5,g30_protag_shonen_005,g30_protag_shonen_005.png
S01,R2C1,g30_protag_shonen_006,g30_protag_shonen_006.png
S01,R2C2,g30_protag_shonen_007,g30_protag_shonen_007.png
S01,R2C3,g30_protag_shonen_008,g30_protag_shonen_008.png
S01,R2C4,g30_protag_shonen_009,g30_protag_shonen_009.png
S01,R2C5,g30_protag_shonen_010,g30_protag_shonen_010.png
S02,R1C1,g30_protag_shonen_011,g30_protag_shonen_011.png
S02,R1C2,g30_protag_shonen_012,g30_protag_shonen_012.png
S02,R1C3,g30_protag_shonen_013,g30_protag_shonen_013.png
S02,R1C4,g30_protag_shonen_014,g30_protag_shonen_014.png
S02,R1C5,g30_protag_shonen_015,g30_protag_shonen_015.png
S02,R2C1,g30_protag_shonen_016,g30_protag_shonen_016.png
S02,R2C2,g30_protag_shonen_017,g30_protag_shonen_017.png
S02,R2C3,g30_protag_shonen_018,g30_protag_shonen_018.png
S02,R2C4,g30_protag_shonen_019,g30_protag_shonen_019.png
S02,R2C5,g30_protag_shonen_020,g30_protag_shonen_020.png
S03,R1C1,g30_protag_shonen_021,g30_protag_shonen_021.png
S03,R1C2,g30_protag_shonen_022,g30_protag_shonen_022.png
S03,R1C3,g30_protag_shonen_023,g30_protag_shonen_023.png
S03,R1C4,g30_protag_shonen_024,g30_protag_shonen_024.png
S03,R1C5,g30_protag_shonen_025,g30_protag_shonen_025.png
S03,R2C1,g30_protag_shonen_026,g30_protag_shonen_026.png
S03,R2C2,g30_protag_shonen_027,g30_protag_shonen_027.png
S03,R2C3,g30_protag_shonen_028,g30_protag_shonen_028.png
S03,R2C4,g30_protag_shonen_029,g30_protag_shonen_029.png
S03,R2C5,g30_protag_shonen_030,g30_protag_shonen_030.png
S04,R1C1,g30_protag_shonen_031,g30_protag_shonen_031.png
S04,R1C2,g30_protag_shonen_032,g30_protag_shonen_032.png
S04,R1C3,g30_protag_shonen_033,g30_protag_shonen_033.png
S04,R1C4,g30_protag_shonen_034,g30_protag_shonen_034.png
S04,R1C5,g30_protag_shonen_035,g30_protag_shonen_035.png
S04,R2C1,g30_protag_shonen_036,g30_protag_shonen_036.png
S04,R2C2,g30_protag_shonen_037,g30_protag_shonen_037.png
S04,R2C3,g30_protag_shonen_038,g30_protag_shonen_038.png
S04,R2C4,g30_protag_shonen_039,g30_protag_shonen_039.png
S04,R2C5,g30_protag_shonen_040,g30_protag_shonen_040.png
S05,R1C1,g30_protag_shonen_041,g30_protag_shonen_041.png
S05,R1C2,g30_protag_shonen_042,g30_protag_shonen_042.png
S05,R1C3,g30_protag_shonen_043,g30_protag_shonen_043.png
S05,R1C4,g30_protag_shonen_044,g30_protag_shonen_044.png
S05,R1C5,g30_protag_shonen_045,g30_protag_shonen_045.png
S05,R2C1,g30_protag_shonen_046,g30_protag_shonen_046.png
S05,R2C2,g30_protag_shonen_047,g30_protag_shonen_047.png
S05,R2C3,g30_protag_shonen_048,g30_protag_shonen_048.png
S05,R2C4,g30_protag_shonen_049,g30_protag_shonen_049.png
S05,R2C5,g30_protag_shonen_050,g30_protag_shonen_050.png
S06,R1C1,g30_protag_shonen_051,g30_protag_shonen_051.png
S06,R1C2,g30_protag_shonen_052,g30_protag_shonen_052.png
S06,R1C3,g30_protag_shonen_053,g30_protag_shonen_053.png
S06,R1C4,g30_protag_shonen_054,g30_protag_shonen_054.png
S06,R1C5,g30_protag_shonen_055,g30_protag_shonen_055.png
S06,R2C1,g30_protag_shonen_056,g30_protag_shonen_056.png
S06,R2C2,g30_protag_shonen_057,g30_protag_shonen_057.png
S06,R2C3,g30_protag_shonen_058,g30_protag_shonen_058.png
S06,R2C4,g30_protag_shonen_059,g30_protag_shonen_059.png
S06,R2C5,g30_protag_shonen_060,g30_protag_shonen_060.png
S07,R1C1,g30_protag_shonen_061,g30_protag_shonen_061.png
S07,R1C2,g30_protag_shonen_062,g30_protag_shonen_062.png
S07,R1C3,g30_protag_shonen_063,g30_protag_shonen_063.png
S07,R1C4,g30_protag_shonen_064,g30_protag_shonen_064.png
S07,R1C5,g30_protag_shonen_065,g30_protag_shonen_065.png
S07,R2C1,g30_protag_shojo_001,g30_protag_shojo_001.png
S07,R2C2,g30_protag_shojo_002,g30_protag_shojo_002.png
S07,R2C3,g30_protag_shojo_003,g30_protag_shojo_003.png
S07,R2C4,g30_protag_shojo_004,g30_protag_shojo_004.png
S07,R2C5,g30_protag_shojo_005,g30_protag_shojo_005.png
S08,R1C1,g30_protag_shojo_006,g30_protag_shojo_006.png
S08,R1C2,g30_protag_shojo_007,g30_protag_shojo_007.png
S08,R1C3,g30_protag_shojo_008,g30_protag_shojo_008.png
S08,R1C4,g30_protag_shojo_009,g30_protag_shojo_009.png
S08,R1C5,g30_protag_shojo_010,g30_protag_shojo_010.png
S08,R2C1,g30_protag_shojo_011,g30_protag_shojo_011.png
S08,R2C2,g30_protag_shojo_012,g30_protag_shojo_012.png
S08,R2C3,g30_protag_shojo_013,g30_protag_shojo_013.png
S08,R2C4,g30_protag_shojo_014,g30_protag_shojo_014.png
S08,R2C5,g30_protag_shojo_015,g30_protag_shojo_015.png
S09,R1C1,g30_protag_shojo_016,g30_protag_shojo_016.png
S09,R1C2,g30_protag_shojo_017,g30_protag_shojo_017.png
S09,R1C3,g30_protag_shojo_018,g30_protag_shojo_018.png
S09,R1C4,g30_protag_shojo_019,g30_protag_shojo_019.png
S09,R1C5,g30_protag_shojo_020,g30_protag_shojo_020.png
S09,R2C1,g30_protag_shojo_021,g30_protag_shojo_021.png
S09,R2C2,g30_protag_shojo_022,g30_protag_shojo_022.png
S09,R2C3,g30_protag_shojo_023,g30_protag_shojo_023.png
S09,R2C4,g30_protag_shojo_024,g30_protag_shojo_024.png
S09,R2C5,g30_protag_shojo_025,g30_protag_shojo_025.png
S10,R1C1,g30_protag_shojo_026,g30_protag_shojo_026.png
S10,R1C2,g30_protag_shojo_027,g30_protag_shojo_027.png
S10,R1C3,g30_protag_shojo_028,g30_protag_shojo_028.png
S10,R1C4,g30_protag_shojo_029,g30_protag_shojo_029.png
S10,R1C5,g30_protag_shojo_030,g30_protag_shojo_030.png
S10,R2C1,g30_protag_shojo_031,g30_protag_shojo_031.png
S10,R2C2,g30_protag_shojo_032,g30_protag_shojo_032.png
S10,R2C3,g30_protag_shojo_033,g30_protag_shojo_033.png
S10,R2C4,g30_protag_shojo_034,g30_protag_shojo_034.png
S10,R2C5,g30_protag_shojo_035,g30_protag_shojo_035.png
S11,R1C1,g30_protag_shojo_036,g30_protag_shojo_036.png
S11,R1C2,g30_protag_shojo_037,g30_protag_shojo_037.png
S11,R1C3,g30_protag_shojo_038,g30_protag_shojo_038.png
S11,R1C4,g30_protag_shojo_039,g30_protag_shojo_039.png
S11,R1C5,g30_protag_shojo_040,g30_protag_shojo_040.png
S11,R2C1,g30_protag_shojo_041,g30_protag_shojo_041.png
S11,R2C2,g30_protag_shojo_042,g30_protag_shojo_042.png
S11,R2C3,g30_protag_shojo_043,g30_protag_shojo_043.png
S11,R2C4,g30_protag_shojo_044,g30_protag_shojo_044.png
S11,R2C5,g30_protag_shojo_045,g30_protag_shojo_045.png
S12,R1C1,g30_protag_shojo_046,g30_protag_shojo_046.png
S12,R1C2,g30_protag_shojo_047,g30_protag_shojo_047.png
S12,R1C3,g30_protag_shojo_048,g30_protag_shojo_048.png
S12,R1C4,g30_protag_shojo_049,g30_protag_shojo_049.png
S12,R1C5,g30_protag_shojo_050,g30_protag_shojo_050.png
S12,R2C1,g30_protag_shojo_051,g30_protag_shojo_051.png
S12,R2C2,g30_protag_shojo_052,g30_protag_shojo_052.png
S12,R2C3,g30_protag_shojo_053,g30_protag_shojo_053.png
S12,R2C4,g30_protag_shojo_054,g30_protag_shojo_054.png
S12,R2C5,g30_protag_shojo_055,g30_protag_shojo_055.png
S13,R1C1,g30_protag_shojo_056,g30_protag_shojo_056.png
S13,R1C2,g30_protag_shojo_057,g30_protag_shojo_057.png
S13,R1C3,g30_protag_shojo_058,g30_protag_shojo_058.png
S13,R1C4,g30_protag_shojo_059,g30_protag_shojo_059.png
S13,R1C5,g30_protag_shojo_060,g30_protag_shojo_060.png
S13,R2C1,g30_protag_shojo_061,g30_protag_shojo_061.png
S13,R2C2,g30_protag_shojo_062,g30_protag_shojo_062.png
S13,R2C3,g30_protag_shojo_063,g30_protag_shojo_063.png
S13,R2C4,g30_protag_shojo_064,g30_protag_shojo_064.png
S13,R2C5,g30_protag_shojo_065,g30_protag_shojo_065.png
S14,R1C1,g30_secondary_shonen_001,g30_secondary_shonen_001.png
S14,R1C2,g30_secondary_shonen_002,g30_secondary_shonen_002.png
S14,R1C3,g30_secondary_shonen_003,g30_secondary_shonen_003.png
S14,R1C4,g30_secondary_shonen_004,g30_secondary_shonen_004.png
S14,R1C5,g30_secondary_shonen_005,g30_secondary_shonen_005.png
S14,R2C1,g30_secondary_shonen_006,g30_secondary_shonen_006.png
S14,R2C2,g30_secondary_shonen_007,g30_secondary_shonen_007.png
S14,R2C3,g30_secondary_shonen_008,g30_secondary_shonen_008.png
S14,R2C4,g30_secondary_shonen_009,g30_secondary_shonen_009.png
S14,R2C5,g30_secondary_shonen_010,g30_secondary_shonen_010.png
S15,R1C1,g30_secondary_shonen_011,g30_secondary_shonen_011.png
S15,R1C2,g30_secondary_shonen_012,g30_secondary_shonen_012.png
S15,R1C3,g30_secondary_shonen_013,g30_secondary_shonen_013.png
S15,R1C4,g30_secondary_shonen_014,g30_secondary_shonen_014.png
S15,R1C5,g30_secondary_shonen_015,g30_secondary_shonen_015.png
S15,R2C1,g30_secondary_shonen_016,g30_secondary_shonen_016.png
