poster,filename,source_sheet,row,column,width_px,height_px
001,poster_001.png,1,1,1,351,530
002,poster_002.png,1,1,2,354,530
003,poster_003.png,1,1,3,353,530
004,poster_004.png,1,1,4,346,530
005,poster_005.png,1,2,1,351,537
006,poster_006.png,1,2,2,354,537
007,poster_007.png,1,2,3,353,537
008,poster_008.png,1,2,4,346,537
009,poster_009.png,2,1,1,352,537
010,poster_010.png,2,1,2,352,537
011,poster_011.png,2,1,3,350,537
012,poster_012.png,2,1,4,346,537
013,poster_013.png,2,2,1,352,531
014,poster_014.png,2,2,2,352,531
015,poster_015.png,2,2,3,350,531
016,poster_016.png,2,2,4,346,531
017,poster_017.png,3,1,1,353,538
018,poster_018.png,3,1,2,356,538
019,poster_019.png,3,1,3,355,538
020,poster_020.png,3,1,4,347,538
021,poster_021.png,3,2,1,353,531
022,poster_022.png,3,2,2,356,531
023,poster_023.png,3,2,3,355,531
024,poster_024.png,3,2,4,347,531
025,poster_025.png,4,1,1,354,517
026,poster_026.png,4,1,2,354,517
027,poster_027.png,4,1,3,354,517
028,poster_028.png,4,1,4,348,517
029,poster_029.png,4,2,1,354,552
030,poster_030.png,4,2,2,354,552
031,poster_031.png,4,2,3,354,552
032,poster_032.png,4,2,4,348,552
033,poster_033.png,5,1,1,349,520
034,poster_034.png,5,1,2,355,520
035,poster_035.png,5,1,3,356,520
036,poster_036.png,5,1,4,345,520
037,poster_037.png,5,2,1,349,547
038,poster_038.png,5,2,2,355,547
039,poster_039.png,5,2,3,356,547
040,poster_040.png,5,2,4,345,547
041,poster_041.png,6,1,1,351,522
042,poster_042.png,6,1,2,351,522
043,poster_043.png,6,1,3,352,522
044,poster_044.png,6,1,4,345,522
045,poster_045.png,6,2,1,351,545
046,poster_046.png,6,2,2,351,545
047,poster_047.png,6,2,3,352,545
048,poster_048.png,6,2,4,345,545
049,poster_049.png,7,1,1,350,512
050,poster_050.png,7,1,2,355,512
051,poster_051.png,7,1,3,353,512
052,poster_052.png,7,1,4,348,512
053,poster_053.png,7,2,1,350,552
054,poster_054.png,7,2,2,355,552
055,poster_055.png,7,2,3,353,552
056,poster_056.png,7,2,4,348,552
057,poster_057.png,8,1,1,347,531
058,poster_058.png,8,1,2,353,531
059,poster_059.png,8,1,3,353,531
060,poster_060.png,8,1,4,343,531
061,poster_061.png,8,2,1,347,530
062,poster_062.png,8,2,2,353,530
063,poster_063.png,8,2,3,353,530
064,poster_064.png,8,2,4,343,530
065,poster_065.png,9,1,1,350,533
066,poster_066.png,9,1,2,353,533
067,poster_067.png,9,1,3,353,533
068,poster_068.png,9,1,4,345,533
069,poster_069.png,9,2,1,350,531
070,poster_070.png,9,2,2,353,531
071,poster_071.png,9,2,3,353,531
072,poster_072.png,9,2,4,345,531
073,poster_073.png,10,1,1,352,537
074,poster_074.png,10,1,2,352,537
075,poster_075.png,10,1,3,351,537
076,poster_076.png,10,1,4,349,537
077,poster_077.png,10,2,1,352,531
078,poster_078.png,10,2,2,352,531
079,poster_079.png,10,2,3,351,531
080,poster_080.png,10,2,4,349,531
081,poster_081.png,11,1,1,353,533
082,poster_082.png,11,1,2,354,533
083,poster_083.png,11,1,3,353,533
084,poster_084.png,11,1,4,353,533
085,poster_085.png,11,2,1,353,533
086,poster_086.png,11,2,2,354,533
087,poster_087.png,11,2,3,353,533
088,poster_088.png,11,2,4,353,533
089,poster_089.png,12,1,1,353,535
090,poster_090.png,12,1,2,353,535
091,poster_091.png,12,1,3,355,535
092,poster_092.png,12,1,4,354,535
093,poster_093.png,12,2,1,353,535
094,poster_094.png,12,2,2,353,535
095,poster_095.png,12,2,3,355,535
096,poster_096.png,12,2,4,354,535
097,poster_097.png,13,1,1,353,534
098,poster_098.png,13,1,2,353,534
099,poster_099.png,13,1,3,354,534
100,poster_100.png,13,1,4,352,534
101,poster_101.png,13,2,1,353,534
102,poster_102.png,13,2,2,353,534
103,poster_103.png,13,2,3,354,534
104,poster_104.png,13,2,4,352,534
105,poster_105.png,14,1,1,352,534
106,poster_106.png,14,1,2,354,534
107,poster_107.png,14,1,3,353,534
108,poster_108.png,14,1,4,352,534
109,poster_109.png,14,2,1,352,534
110,poster_110.png,14,2,2,354,534
111,poster_111.png,14,2,3,353,534
112,poster_112.png,14,2,4,352,534
113,poster_113.png,15,1,1,351,532
114,poster_114.png,15,1,2,352,532
115,poster_115.png,15,1,3,352,532
116,poster_116.png,15,1,4,351,532
117,poster_117.png,15,2,1,351,533
118,poster_118.png,15,2,2,352,533
119,poster_119.png,15,2,3,352,533
120,poster_120.png,15,2,4,351,533
121,poster_121.png,16,1,1,349,531
122,poster_122.png,16,1,2,350,531
123,poster_123.png,16,1,3,349,531
124,poster_124.png,16,1,4,350,531
125,poster_125.png,16,2,1,349,532
126,poster_126.png,16,2,2,350,532
127,poster_127.png,16,2,3,349,532
128,poster_128.png,16,2,4,350,532
129,poster_129.png,17,1,1,354,534
130,poster_130.png,17,1,2,355,534
131,poster_131.png,17,1,3,355,534
132,poster_132.png,17,1,4,353,534
133,poster_133.png,17,2,1,354,534
134,poster_134.png,17,2,2,355,534
135,poster_135.png,17,2,3,355,534
136,poster_136.png,17,2,4,353,534
137,poster_137.png,18,1,1,345,528
138,poster_138.png,18,1,2,350,528
139,poster_139.png,18,1,3,347,528
140,poster_140.png,18,1,4,346,528
141,poster_141.png,18,2,1,345,528
142,poster_142.png,18,2,2,350,528
143,poster_143.png,18,2,3,347,528
144,poster_144.png,18,2,4,346,528
145,poster_145.png,19,1,1,350,531
146,poster_146.png,19,1,2,352,531
147,poster_147.png,19,1,3,352,531
148,poster_148.png,19,1,4,351,531
149,poster_149.png,19,2,1,350,533
150,poster_150.png,19,2,2,352,533
151,poster_151.png,19,2,3,352,533
152,poster_152.png,19,2,4,351,533
153,poster_153.png,20,1,1,352,534
154,poster_154.png,20,1,2,355,534
155,poster_155.png,20,1,3,354,534
156,poster_156.png,20,1,4,352,534
157,poster_157.png,20,2,1,352,534
158,poster_158.png,20,2,2,355,534
159,poster_159.png,20,2,3,354,534
160,poster_160.png,20,2,4,352,534
