"posterSlot","filename","ipId","title","status"
"1","poster_001.webp","ip_001","","assigned"
"2","poster_002.webp","ip_002","","assigned"
"3","poster_003.webp","ip_003","","assigned"
"4","poster_004.webp","ip_004","","assigned"
"5","poster_005.webp","ip_005","","assigned"
"6","poster_006.webp","ip_006","","assigned"
"7","poster_007.webp","ip_007","","assigned"
"8","poster_008.webp","ip_008","","assigned"
"9","poster_009.webp","ip_009","","assigned"
"10","poster_010.webp","ip_010","","assigned"
"11","poster_011.webp","ip_011","","assigned"
"12","poster_012.webp","ip_012","","assigned"
"13","poster_013.webp","ip_013","","assigned"
"14","poster_014.webp","ip_014","","assigned"
"15","poster_015.webp","ip_015","","assigned"
"16","poster_016.webp","ip_016","","assigned"
"17","poster_017.webp","ip_017","","assigned"
"18","poster_018.webp","ip_018","","assigned"
"19","poster_019.webp","ip_019","","assigned"
"20","poster_020.webp","ip_020","","assigned"
"21","poster_021.webp","ip_021","","assigned"
"22","poster_022.webp","ip_022","","assigned"
"23","poster_023.webp","ip_023","","assigned"
"24","poster_024.webp","ip_024","","assigned"
"25","poster_025.webp","ip_025","","assigned"
"26","poster_026.webp","ip_026","","assigned"
"27","poster_027.webp","ip_027","","assigned"
"28","poster_028.webp","ip_028","","assigned"
"29","poster_029.webp","ip_029","","assigned"
"30","poster_030.webp","ip_030","","assigned"
"31","poster_031.webp","ip_031","","assigned"
"32","poster_032.webp","ip_032","","assigned"
"33","poster_033.webp","ip_033","","assigned"
"34","poster_034.webp","ip_034","","assigned"
"35","poster_035.webp","ip_035","","assigned"
"36","poster_036.webp","ip_036","","assigned"
"37","poster_037.webp","ip_037","","assigned"
"38","poster_038.webp","ip_038","","assigned"
"39","poster_039.webp","ip_039","","assigned"
"40","poster_040.webp","ip_040","","assigned"
"41","poster_041.webp","ip_041","","assigned"
"42","poster_042.webp","ip_042","","assigned"
"43","poster_043.webp","ip_043","","assigned"
"44","poster_044.webp","ip_044","","assigned"
"45","poster_045.webp","ip_045","","assigned"
"46","poster_046.webp","ip_046","","assigned"
"47","poster_047.webp","ip_047","","assigned"
"48","poster_048.webp","ip_048","","assigned"
"49","poster_049.webp","ip_049","","assigned"
"50","poster_050.webp","ip_050","","assigned"
"51","poster_051.webp","ip_051","","assigned"
"52","poster_052.webp","ip_052","","assigned"
"53","poster_053.webp","ip_053","","assigned"
"54","poster_054.webp","ip_054","","assigned"
"55","poster_055.webp","ip_055","","assigned"
"56","poster_056.webp","ip_056","","assigned"
"57","poster_057.webp","ip_057","","assigned"
"58","poster_058.webp","ip_058","","assigned"
"59","poster_059.webp","ip_059","","assigned"
"60","poster_060.webp","ip_060","","assigned"
"61","poster_061.webp","ip_061","","assigned"
"62","poster_062.webp","ip_062","","assigned"
"63","poster_063.webp","ip_063","","assigned"
"64","poster_064.webp","ip_064","","assigned"
"65","poster_065.webp","ip_065","","assigned"
"66","poster_066.webp","ip_066","","assigned"
"67","poster_067.webp","ip_067","","assigned"
"68","poster_068.webp","ip_068","","assigned"
"69","poster_069.webp","ip_069","","assigned"
"70","poster_070.webp","ip_070","","assigned"
"71","poster_071.webp","ip_071","","assigned"
"72","poster_072.webp","ip_072","","assigned"
"73","poster_073.webp","ip_073","","assigned"
"74","poster_074.webp","ip_074","","assigned"
"75","poster_075.webp","ip_075","","assigned"
"76","poster_076.webp","ip_076","","assigned"
"77","poster_077.webp","ip_077","","assigned"
"78","poster_078.webp","ip_078","","assigned"
"79","poster_079.webp","ip_079","","assigned"
"80","poster_080.webp","ip_080","","assigned"
"81","poster_081.webp","ip_081","","assigned"
"82","poster_082.webp","ip_082","","assigned"
"83","poster_083.webp","ip_083","","assigned"
"84","poster_084.webp","ip_084","","assigned"
"85","poster_085.webp","ip_085","","assigned"
"86","poster_086.webp","ip_086","","assigned"
"87","poster_087.webp","ip_087","","assigned"
"88","poster_088.webp","ip_088","","assigned"
"89","poster_089.webp","ip_089","","assigned"
"90","poster_090.webp","ip_090","","assigned"
"91","poster_091.webp","ip_091","","assigned"
"92","poster_092.webp","ip_092","","assigned"
"93","poster_093.webp","ip_093","","assigned"
"94","poster_094.webp","ip_094","","assigned"
"95","poster_095.webp","ip_095","","assigned"
"96","poster_096.webp","ip_096","","assigned"
"97","poster_097.webp","ip_097","","assigned"
"98","poster_098.webp","ip_098","","assigned"
"99","poster_099.webp","ip_099","","assigned"
"100","poster_100.webp","ip_100","","assigned"
