id,name,generation,role,anime_type,visible_genre_1,visible_genre_2,hidden_affinity,runtime_portrait_path,source_portrait_path,source_manifest_row,source_manifest_sequence,expected_source_filename,expected_runtime_filename,actual_runtime_filename,sha256,source_sha256,perceptual_hash,width,height,source_file_exists,runtime_file_exists,filename_id_mapping_matches,runtime_references_intended_source,metadata_matches_authoritative,portrait_appears_elsewhere,suspected_visual_duplicate_ids
kai,Kai Moriyama,V2 original,protag,shonen,sports,martial,cooking,cast/v2/lead_shonen_01__a1__kai.webp,game_source/public/cast/v2/lead_shonen_01__a1__kai.webp,visual_sheet_manifest.json LEAD_SHONEN_01:A1,,lead_shonen_01__a1__kai.webp,lead_shonen_01__a1__kai.webp,lead_shonen_01__a1__kai.webp,345fd3bbe19f8c0a02eb59019d920ecd2d1d807596537b6a29a40116dc44a7a2,345fd3bbe19f8c0a02eb59019d920ecd2d1d807596537b6a29a40116dc44a7a2,3441494f9d7cb592,512,512,True,True,True,True,True,False,
rei,Rei Han,V2 original,protag,shonen,mecha,space,military,cast/v2/lead_shonen_01__a2__rei.webp,game_source/public/cast/v2/lead_shonen_01__a2__rei.webp,visual_sheet_manifest.json LEAD_SHONEN_01:A2,,lead_shonen_01__a2__rei.webp,lead_shonen_01__a2__rei.webp,lead_shonen_01__a2__rei.webp,8e3d22c5267de98996cff94a8c6522713aa3b7a42a79959bf0adbc8def7d3fa2,8e3d22c5267de98996cff94a8c6522713aa3b7a42a79959bf0adbc8def7d3fa2,21c999a9a58f1793,512,512,True,True,True,True,True,False,
sora,Sora Vale,V2 original,protag,shonen,isekai,fantasy,military,cast/v2/lead_shonen_01__a3__sora.webp,game_source/public/cast/v2/lead_shonen_01__a3__sora.webp,visual_sheet_manifest.json LEAD_SHONEN_01:A3,,lead_shonen_01__a3__sora.webp,lead_shonen_01__a3__sora.webp,lead_shonen_01__a3__sora.webp,49c0837fd3842fa84e1f204a1d330a2a4cc06b02f7ebb850dfafc1fa9fa7b5bb,49c0837fd3842fa84e1f204a1d330a2a4cc06b02f7ebb850dfafc1fa9fa7b5bb,20e4e21fc735d88d,512,512,True,True,True,True,True,False,g30_protag_shonen_065
kage,Kage Mercer,V2 original,protag,shonen,horror,cyber,mystery,cast/v2/lead_shonen_01__a4__kage.webp,game_source/public/cast/v2/lead_shonen_01__a4__kage.webp,visual_sheet_manifest.json LEAD_SHONEN_01:A4,,lead_shonen_01__a4__kage.webp,lead_shonen_01__a4__kage.webp,lead_shonen_01__a4__kage.webp,857bdfbd56cfc0428c4b336c948595f38af875b988e9623b69d123e6703fa90a,857bdfbd56cfc0428c4b336c948595f38af875b988e9623b69d123e6703fa90a,2197432f6a683c7c,512,512,True,True,True,True,True,False,
kenta,Kenta Okafor,V2 original,protag,shonen,martial,comedy,mythology,cast/v2/lead_shonen_01__b1__kenta.webp,game_source/public/cast/v2/lead_shonen_01__b1__kenta.webp,visual_sheet_manifest.json LEAD_SHONEN_01:B1,,lead_shonen_01__b1__kenta.webp,lead_shonen_01__b1__kenta.webp,lead_shonen_01__b1__kenta.webp,5b28a0d90e2029eed0211e4a103fb59da6d0cb6c456a4d3383ef1d092ff7c810,5b28a0d90e2029eed0211e4a103fb59da6d0cb6c456a4d3383ef1d092ff7c810,2525f88f66d49c16,512,512,True,True,True,True,True,False,
ryu,Ryu Long,V2 original,protag,shonen,fantasy,martial,romance,cast/v2/lead_shonen_01__b2__ryu.webp,game_source/public/cast/v2/lead_shonen_01__b2__ryu.webp,visual_sheet_manifest.json LEAD_SHONEN_01:B2,,lead_shonen_01__b2__ryu.webp,lead_shonen_01__b2__ryu.webp,lead_shonen_01__b2__ryu.webp,d2b56dfb1307ace6aab65821b6cfde6d66982e0257b6a88f6ed777dd27bdfe73,d2b56dfb1307ace6aab65821b6cfde6d66982e0257b6a88f6ed777dd27bdfe73,399677638364c4d8,512,512,True,True,True,True,True,False,
jin,Jin Park,V2 original,protag,shonen,mecha,survival,slice,cast/v2/lead_shonen_01__b3__jin.webp,game_source/public/cast/v2/lead_shonen_01__b3__jin.webp,visual_sheet_manifest.json LEAD_SHONEN_01:B3,,lead_shonen_01__b3__jin.webp,lead_shonen_01__b3__jin.webp,lead_shonen_01__b3__jin.webp,7f2421478f20091c91f553ed6c1e7a26be0d61766c4c963dbfa5a5e7123054c2,7f2421478f20091c91f553ed6c1e7a26be0d61766c4c963dbfa5a5e7123054c2,20d7d6632335159b,512,512,True,True,True,True,True,False,
goro,Goro Nishida,V2 original,protag,shonen,sports,martial,magical,cast/v2/lead_shonen_01__b4__goro.webp,game_source/public/cast/v2/lead_shonen_01__b4__goro.webp,visual_sheet_manifest.json LEAD_SHONEN_01:B4,,lead_shonen_01__b4__goro.webp,lead_shonen_01__b4__goro.webp,lead_shonen_01__b4__goro.webp,0d62917f517f131b6d9c5beb2ccab8df00c3e7d3d583c429e515b9096dda5c86,0d62917f517f131b6d9c5beb2ccab8df00c3e7d3d583c429e515b9096dda5c86,20502bb631df0f8f,512,512,True,True,True,True,True,False,
daichi,Dawit Bekele,V2 original,protag,shonen,survival,military,supernatural,cast/v2/lead_shonen_02__a1__daichi.webp,game_source/public/cast/v2/lead_shonen_02__a1__daichi.webp,visual_sheet_manifest.json LEAD_SHONEN_02:A1,,lead_shonen_02__a1__daichi.webp,lead_shonen_02__a1__daichi.webp,lead_shonen_02__a1__daichi.webp,11865aa5b8a9b5bcec5dad942d599edb585a6ebc35c10fde2f1430b2ea0d6b74,11865aa5b8a9b5bcec5dad942d599edb585a6ebc35c10fde2f1430b2ea0d6b74,2b403fc5ec538d62,512,512,True,True,True,True,True,False,
kaito,Kaito Marlow,V2 original,protag,shonen,pirate,isekai,romance,cast/v2/lead_shonen_02__a2__kaito.webp,game_source/public/cast/v2/lead_shonen_02__a2__kaito.webp,visual_sheet_manifest.json LEAD_SHONEN_02:A2,,lead_shonen_02__a2__kaito.webp,lead_shonen_02__a2__kaito.webp,lead_shonen_02__a2__kaito.webp,c7d9c8e635e7a59fe5f54c0896c66f908f1cdd736a40b7956792c523303a72e3,c7d9c8e635e7a59fe5f54c0896c66f908f1cdd736a40b7956792c523303a72e3,618746e7abf01447,512,512,True,True,True,True,True,False,
