id,name,role,archetype,affinities,action,staged_file,old_img,old_pos,source_set,source_sheet,source_panel
p_baku,Baku,pet,Dream Eater,fantasy|horror|supernatural|space,REPLACE,portrait_staging/pet/p_baku__baku.webp,img/cast4/p_baku.jpg,,set4,six_enchanted_creatures_in_action.png,1
p_bloop,Bloop,pet,Prism Jelly,fantasy|slice|cyber|space|magical,REPLACE,portrait_staging/pet/p_bloop__bloop.webp,img/cast-pet-9.jpg,3,new_39_completion,sheet1,1
p_chacha,Chacha,pet,Monkey,shonen|slice|comedy,REPLACE,portrait_staging/pet/p_chacha__chacha.webp,img/cast-pet-7.jpg,2,set1,anthropomorphic_animal_action_collage.png,1
p_chibi,Chibi,pet,Tuxedo Penguin,slice|mystery,REPLACE,portrait_staging/pet/p_chibi__chibi.webp,img/cast-pet-3.jpg,2,set4,six_enchanted_creatures_in_action.png,2
p_cogsworth,Cogsworth,pet,Clockwork Owl,mystery|mecha|cyber|noir|space,REPLACE,portrait_staging/pet/p_cogsworth__cogsworth.webp,img/cast-pet-9.jpg,2,set4,six_enchanted_creatures_in_action.png,3
p_drakko,Drakko,pet,Dragon Hatchling,fantasy|isekai|shonen|magical|comedy,REPLACE,portrait_staging/pet/p_drakko__drakko.webp,img/cast-pet-9.jpg,0,set4,six_enchanted_creatures_in_action.png,4
p_fuu,Fuu,pet,Wind Spirit,fantasy|mystery,REPLACE,portrait_staging/pet/p_fuu__fuu.webp,img/cast-pet-5.jpg,3,set3,six_magical_creatures_across_worlds.png,1
p_fuwa,Fuwa,pet,Cloud Sheep,slice|shojo|sports|comedy|space,REPLACE,portrait_staging/pet/p_fuwa__fuwa.webp,img/cast-pet-10.jpg,3,set1,fantasy_mascots_six_panel_adventure.png,5
p_goma,Goma,pet,Sesame Dog,slice|romance,REPLACE,portrait_staging/pet/p_goma__goma.webp,img/cast-pet-8.jpg,2,set4,six_enchanted_creatures_in_action.png,5
p_gon,Gon,pet,Baby Dinosaur,shonen|fantasy,REPLACE,portrait_staging/pet/p_gon__gon.webp,img/cast-pet-3.jpg,1,set4,six_enchanted_creatures_in_action.png,6
p_hachi,Hachi,pet,Bumblebee,slice|sports|military,REPLACE,portrait_staging/pet/p_hachi__hachi.webp,img/cast4/p_hachi.jpg,,set4,six_enchanted_character_vignettes.png,1
p_kiki2,Kiki,pet,Fire Salamander,fantasy|shonen,REPLACE,portrait_staging/pet/p_kiki2__kiki.webp,img/cast-pet-6.jpg,3,set3,six_whimsical_fantasy_animal_adventures.png,6
p_kona,Kona,pet,Snow Yeti Cub,slice|horror,REPLACE,portrait_staging/pet/p_kona__kona.webp,img/cast-pet-6.jpg,0,set3,fantastical_six_panel_character_showcase.png,1
p_koro,Koro,pet,Space Hamster,mecha|cyber|isekai|space,REPLACE,portrait_staging/pet/p_koro__koro.webp,img/cast-pet-1.jpg,2,set3,six_magical_creatures_across_worlds.png,3
p_kuro,Kuro,pet,Shadow Fox,mystery|horror|cyber|supernatural,REPLACE,portrait_staging/pet/p_kuro__kuro.webp,img/cast-pet-2.jpg,3,set3,six_magical_creatures_across_worlds.png,2
p_loader,Loader,pet,Munitions Mutt,military|comedy|shonen|cooking,REPLACE,portrait_staging/pet/p_loader__loader.webp,img/cast4/p_loader.jpg,,set4,six_enchanted_character_vignettes.png,2
p_lumen,Lumen,pet,Crystal Fawn,fantasy|mystery|shojo|magical|supernatural,REPLACE,portrait_staging/pet/p_lumen__lumen.webp,img/cast-pet-10.jpg,1,set4,six_enchanted_character_vignettes.png,3
p_maru,Maru,pet,Round Owl,mystery|fantasy,REPLACE,portrait_staging/pet/p_maru__maru.webp,img/cast-pet-6.jpg,1,set3,fantastical_six_panel_character_showcase.png,2
p_mocha,Mocha,pet,Coffee Ferret,slice|cyber|cooking|noir,REPLACE,portrait_staging/pet/p_mocha__mocha.webp,img/cast-pet-8.jpg,0,set4,six_enchanted_character_vignettes.png,4
p_mochi,Mochi,pet,Round Cream Cat,slice|shojo,REPLACE,portrait_staging/pet/p_mochi__mochi.webp,img/cast-pet-1.jpg,0,set4,six_enchanted_character_vignettes.png,5
p_momo2,Momo,pet,Peach Rabbit,shojo|slice,REPLACE,portrait_staging/pet/p_momo2__momo.webp,img/cast-pet-3.jpg,0,set3,six_whimsical_fantasy_animal_adventures.png,1
p_mugi,Mugi,pet,Bear Cub,slice|shonen,REPLACE,portrait_staging/pet/p_mugi__mugi.webp,img/cast-pet-5.jpg,0,set1,fantasy_mascots_six_panel_adventure.png,1
p_nemu,Nemu,pet,Sleepy Sloth,slice|romance,REPLACE,portrait_staging/pet/p_nemu__nemu.webp,img/cast-pet-7.jpg,0,set1,fantasy_mascots_six_panel_adventure.png,2
p_nibi,Nibi,pet,Two-Tail Cat,horror|mystery|fantasy|supernatural|noir,REPLACE,portrait_staging/pet/p_nibi__nibi.webp,img/cast-pet-10.jpg,2,set4,six_enchanted_character_vignettes.png,6
p_nitro,Nitro,pet,Pit-Crew Ferret,racing|sports|comedy|magical,REPLACE,portrait_staging/pet/p_nitro__nitro.webp,img/cast4/p_nitro.jpg,,set4,six_panel_fantasy_animal_adventure.png,1
p_nya,Nya,pet,Witch Cat,fantasy|shojo|magical,REPLACE,portrait_staging/pet/p_nya__nya.webp,img/cast-pet-3.jpg,3,set3,six_magical_creatures_across_worlds.png,4
p_peko,Peko,pet,Leaf Chick,slice|shojo,REPLACE,portrait_staging/pet/p_peko__peko.webp,img/cast-pet-2.jpg,0,set3,six_whimsical_fantasy_animal_adventures.png,2
