genre_1,genre_2,total,visible_pair,Lead,Sidekick,Mascot,Villain,ids
mecha,isekai,2,0,0,1,0,1,tsubasa;v_overlord
mecha,slice,6,2,1,2,1,2,jin;s_sosuke;s_megu;p_teto;v_kurogane;v_glitch
mecha,horror,2,0,1,1,0,0,zuri;s_sosuke
mecha,romance,3,2,1,0,0,2,takumi;v_volt;v_obsidian
mecha,sports,2,1,0,0,1,1,p_teto;v_bioform
mecha,cyber,4,4,1,1,1,1,niko;s_daiki;p_pochi;v_glitch
mecha,fantasy,4,0,1,1,1,1,kota;s_ken;p_tama;v_overlord
mecha,idol,3,1,1,0,0,2,riko;v_bioform;v_obsidian
mecha,mystery,4,2,2,1,1,0,riko;takumi;s_megu;p_cogsworth
mecha,comedy,3,0,0,1,1,1,s_peko;p_ponta;v_grandfinale
mecha,cooking,7,3,1,3,2,1,zuri;s_daiki;s_boone;s_pranav;p_koro;p_ponta;v_grandfinale
mecha,military,3,0,1,1,0,1,rei;s_ironmaid;v_kurogane
mecha,supernatural,1,0,0,1,0,0,s_boone
mecha,space,5,3,2,1,1,1,rei;n_ryoko;tsubasa;p_koro;v_volt
mecha,magical,4,0,1,1,2,0,niko;s_peko;p_pochi;p_tama
mecha,survival,2,2,1,1,0,0,jin;s_ken
mecha,pirate,1,0,0,0,1,0,p_cogsworth
mecha,martial,1,0,1,0,0,0,n_ryoko
mecha,mythology,1,0,0,1,0,0,s_pranav
mecha,nordic,2,0,1,1,0,0,kota;s_ironmaid
isekai,slice,1,0,0,1,0,0,s_nozomi
isekai,horror,2,0,0,0,0,2,v_titanus;v_lich
isekai,romance,3,0,1,1,1,0,kaito;s_nozomi;p_piko
isekai,sports,2,1,0,2,0,0,s_soleil;yuzuki
isekai,cyber,1,1,0,0,1,0,p_piko
isekai,fantasy,5,3,2,1,1,1,sora;n_aoi;s_soleil;p_drakko;v_overlord
isekai,idol,1,0,1,0,0,0,n_saku
isekai,mystery,1,0,0,1,0,0,s_amber
isekai,comedy,2,1,1,0,0,1,jun;v_lich
isekai,cooking,3,1,1,0,1,1,n_mikoto;p_puri;v_magus
isekai,military,1,0,1,0,0,0,sora
isekai,supernatural,1,1,0,1,0,0,yuzuki
isekai,space,1,1,0,1,0,0,tsubasa
isekai,magical,3,2,1,0,1,1,n_mikoto;p_peko;v_magus
isekai,survival,2,1,0,0,1,1,p_peko;v_titanus
isekai,pirate,2,2,1,1,0,0,kaito;s_amber
isekai,martial,2,1,1,0,1,0,n_saku;p_drakko
isekai,mythology,1,0,1,0,0,0,n_aoi
isekai,nordic,2,0,1,0,1,0,jun;p_puri
slice,horror,2,1,0,1,1,0,s_sosuke;p_mochi
slice,romance,5,4,0,2,2,1,s_mika;s_nozomi;p_mochi;p_nemu;v_venom
slice,sports,4,4,1,2,1,0,rin;s_ren;s_momoko;p_teto
slice,cyber,2,1,1,0,0,1,sota;v_glitch
slice,fantasy,1,0,0,1,0,0,fumi
slice,idol,2,2,0,1,0,1,s_lulu;v_puppeteer
slice,mystery,5,5,2,1,0,2,shiro;saki;s_megu;v_nocturne;v_sinister
slice,comedy,1,1,0,0,1,0,p_chibi
slice,cooking,3,2,1,0,2,0,yui;p_pudding;p_yuzu
slice,military,9,1,0,3,3,3,s_momoko;s_lulu;s_mika;p_loader;p_chibi;p_pudding;v_kurogane;v_puppeteer;v_dread
slice,supernatural,1,0,0,0,0,1,v_nocturne
slice,space,2,0,0,1,1,0,s_ren;p_umi
slice,magical,1,1,0,0,1,0,p_sora
slice,survival,7,2,2,1,3,1,jin;yui;s_aoi;p_loader;p_umi;p_nemu;v_venom
slice,pirate,6,0,2,1,2,1,rin;shiro;s_aoi;p_sora;p_yuzu;v_dread
slice,martial,2,1,1,1,0,0,kaede;s_eiji
slice,mythology,3,0,2,0,0,1,sota;saki;v_sinister
slice,nordic,3,2,1,2,0,0,kaede;s_eiji;fumi
horror,romance,6,1,2,1,1,2,airi;haru;s_sakurako;p_mochi;v_hollow;v_fang
horror,sports,3,0,1,1,0,1,haru;s_bolt;v_reaper
horror,cyber,1,1,1,0,0,0,kage
horror,fantasy,2,2,1,0,1,0,shiori;p_baku
horror,idol,4,1,1,1,1,1,airi;s_sakurako;p_kona;v_plague
horror,mystery,3,1,1,1,0,1,kage;s_chiaki;v_plague
horror,comedy,4,1,1,1,0,2,shiori;s_bolt;v_ash;v_lich
horror,cooking,4,0,1,0,0,3,zuri;v_fang;v_silence;v_moth
horror,military,1,1,0,0,0,1,v_ash
horror,supernatural,3,3,0,1,1,1,s_chiaki;p_nibi;v_hollow
horror,space,1,0,0,0,1,0,p_stellar
horror,magical,2,0,0,0,2,0,p_nibi;p_stellar
horror,survival,3,2,1,0,1,1,yuki;p_kona;v_titanus
horror,pirate,1,1,0,0,0,1,v_silence
horror,martial,1,0,0,0,0,1,v_reaper
horror,mythology,1,1,0,0,0,1,v_moth
horror,nordic,2,0,1,0,1,0,yuki;p_baku
romance,sports,6,3,2,1,2,1,haru;n_chisato;s_okada;p_hachi;p_goma;v_frostbite
romance,cyber,6,1,1,1,1,3,hana;s_kanna;p_piko;v_zero;v_kairos;v_frostbite
romance,fantasy,4,2,1,1,2,0,ryu;s_hina;p_gon;p_momo2
romance,idol,7,3,2,2,0,3,airi;mio;s_ice;s_sakurako;v_falsetto;v_obsidian;v_rosethorn
romance,mystery,6,2,1,2,1,2,takumi;s_shin;s_alfred;p_momo2;v_nightshade;aya
romance,comedy,2,1,0,1,0,1,s_kazuki;v_lovelace
romance,cooking,2,1,0,0,1,1,p_goma;v_fang
romance,military,5,1,1,2,1,1,hikari;s_kanna;s_mika;p_hachi;sen
romance,supernatural,3,1,1,0,1,1,itsuki;p_sakumi;v_hollow
romance,space,5,0,1,1,0,3,n_chisato;s_shin;v_volt;v_zero;v_lovelace
romance,magical,1,1,1,0,0,0,hikari
romance,survival,8,2,1,2,2,3,itsuki;s_ice;s_hina;p_gon;p_nemu;v_nightshade;v_venom;v_rosethorn
romance,pirate,2,0,2,0,0,0,kaito;mio
romance,martial,8,2,1,3,1,3,ryu;s_okada;s_alfred;s_kazuki;p_sakumi;sen;v_falsetto;aya
romance,mythology,1,1,1,0,0,0,hana
romance,nordic,1,0,0,0,0,1,v_kairos
sports,cyber,2,0,0,0,1,1,p_kuro;v_frostbite
sports,fantasy,3,0,0,1,1,1,s_soleil;p_maru;v_hex
sports,idol,5,3,1,2,0,2,leo;s_akane;s_yuna;v_carnage;v_bioform
sports,mystery,2,1,0,1,1,0,s_anna;p_maru
sports,comedy,2,2,0,1,1,0,s_bolt;p_nitro
sports,cooking,2,0,1,0,1,0,kai;p_goma
sports,military,4,3,1,2,1,0,leo;s_takeshi;s_momoko;p_hachi
sports,supernatural,4,0,1,1,1,1,suzume;yuzuki;p_kuro;v_tempest
sports,space,2,0,1,1,0,0,n_chisato;s_ren
sports,magical,3,0,1,1,0,1,goro;s_takeshi;v_hex
sports,survival,2,0,0,1,1,0,s_riku;p_mugi
sports,pirate,4,1,1,1,0,2,rin;s_akane;v_baron;v_tempest
sports,martial,6,5,2,2,0,2,kai;goro;s_okada;s_riku;v_carnage;v_reaper
sports,mythology,5,0,1,2,1,1,suzume;s_yuna;s_anna;p_nitro;v_baron
sports,nordic,1,0,0,0,1,0,p_mugi
cyber,fantasy,1,0,0,0,0,1,v_collector
cyber,idol,2,1,1,1,0,0,nana;s_mimi
cyber,mystery,5,3,2,1,1,1,kage;akira;s_tobi;p_mocha;v_mirage
cyber,comedy,1,0,1,0,0,0,nana
cyber,cooking,3,0,0,1,2,0,s_daiki;p_pomu;p_mocha
cyber,military,2,1,1,1,0,0,kuro;s_kanna
cyber,supernatural,1,1,0,0,1,0,p_kuro
cyber,space,2,1,0,0,1,1,p_brine;v_zero
cyber,magical,6,0,1,2,2,1,niko;s_tobi;s_mimi;p_pochi;p_rin2;v_mirage
cyber,survival,1,1,0,0,0,1,v_blackout
cyber,pirate,1,0,0,0,1,0,p_brine
cyber,martial,1,0,1,0,0,0,kuro
cyber,mythology,5,2,2,0,1,2,sota;hana;p_rin2;v_blackout;v_collector
cyber,nordic,3,0,1,0,1,1,akira;p_pomu;v_kairos
fantasy,idol,1,0,0,0,1,0,s_chika
fantasy,mystery,3,0,1,0,2,0,mako;p_maru;p_momo2
fantasy,comedy,2,0,1,0,0,1,shiori;v_hollowchild
fantasy,cooking,3,2,0,1,2,0,taro;p_kiki2;s_chika
fantasy,military,1,0,1,0,0,0,sora
fantasy,supernatural,1,0,0,1,0,0,s_tora
fantasy,space,3,1,0,1,1,1,taro;p_bloop;v_hollowchild
fantasy,magical,5,5,0,0,3,2,p_kiki2;p_tama;p_bloop;v_amethyst;v_hex
fantasy,survival,3,0,0,2,1,0,s_ken;s_hina;p_gon
fantasy,pirate,2,2,1,1,0,0,mako;s_tora
fantasy,martial,2,2,1,0,1,0,ryu;p_drakko
fantasy,mythology,2,0,1,0,0,1,n_aoi;v_collector
fantasy,nordic,4,1,1,1,1,1,kota;fumi;p_baku;v_amethyst
idol,mystery,5,1,2,1,1,1,riko;n_reiwa;s_gen;s_koko;v_plague
idol,comedy,4,3,2,1,0,1,momo;nana;s_kiki;v_harlequin
idol,cooking,2,0,0,0,1,1,s_chika;v_einar
idol,military,5,0,1,2,1,1,leo;s_gen;s_lulu;p_ruri;v_puppeteer
idol,supernatural,2,1,0,1,1,0,s_ryo;s_koko
idol,space,1,1,1,0,0,0,mira
idol,magical,3,2,1,1,1,0,n_reiwa;s_mimi;p_ruri
idol,survival,6,0,1,2,1,2,momo;s_kiki;s_ice;p_kona;v_harlequin;v_rosethorn
idol,pirate,3,1,1,2,0,0,mio;s_akane;s_ryo
idol,martial,3,1,1,0,0,2,n_saku;v_carnage;v_falsetto
idol,mythology,2,0,1,1,0,0,mira;s_yuna
idol,nordic,1,0,0,0,0,1,v_einar
mystery,comedy,1,1,0,1,0,0,s_nanami
mystery,cooking,2,1,0,0,1,1,p_mocha;v_paradox
mystery,military,1,1,0,1,0,0,s_gen
mystery,supernatural,5,1,1,1,1,2,renji;s_chiaki;s_koko;v_onikage;v_nocturne
mystery,space,3,2,0,2,0,1,s_shin;s_nanami;v_paradox
mystery,magical,3,0,1,1,0,1,n_reiwa;s_tobi;v_mirage
mystery,survival,1,1,0,0,0,1,v_nightshade
mystery,pirate,6,1,2,1,2,1,mako;shiro;s_amber;s_haruto;p_cogsworth;v_inquisitor
mystery,martial,4,1,0,1,0,3,s_alfred;v_onikage;v_inquisitor;aya
