genre_1,genre_2,key,first_release_multiplier,learned_multiplier,discovery_class
mecha,isekai,isekai|mecha,1.0,1.0,neutral
mecha,slice,mecha|slice,0.8,0.8,risky
mecha,horror,horror|mecha,1.0,1.0,neutral
mecha,romance,mecha|romance,1.0,1.24,experimental
mecha,sports,mecha|sports,1.0,1.0,neutral
mecha,cyber,cyber|mecha,1.25,1.25,strong
mecha,fantasy,fantasy|mecha,1.0,1.0,neutral
mecha,idol,idol|mecha,1.0,1.0,neutral
mecha,mystery,mecha|mystery,1.0,1.0,neutral
mecha,comedy,comedy|mecha,1.0,1.0,neutral
mecha,cooking,cooking|mecha,1.0,1.0,neutral
mecha,military,mecha|military,1.22,1.22,strong
mecha,supernatural,mecha|supernatural,1.0,1.0,neutral
mecha,space,mecha|space,1.24,1.24,strong
mecha,magical,magical|mecha,1.0,1.0,neutral
mecha,survival,mecha|survival,1.0,1.0,neutral
mecha,pirate,mecha|pirate,1.0,1.16,experimental
mecha,martial,martial|mecha,1.0,1.0,neutral
mecha,mythology,mecha|mythology,1.0,1.0,neutral
mecha,nordic,mecha|nordic,1.0,1.0,neutral
isekai,slice,isekai|slice,1.0,1.0,neutral
isekai,horror,horror|isekai,1.0,1.0,neutral
isekai,romance,isekai|romance,0.88,0.88,risky
isekai,sports,isekai|sports,1.0,1.0,neutral
isekai,cyber,cyber|isekai,1.0,1.0,neutral
isekai,fantasy,fantasy|isekai,1.25,1.25,strong
isekai,idol,idol|isekai,1.0,1.22,experimental
isekai,mystery,isekai|mystery,1.0,1.0,neutral
isekai,comedy,comedy|isekai,1.0,1.0,neutral
isekai,cooking,cooking|isekai,1.0,1.0,neutral
isekai,military,isekai|military,1.0,1.0,neutral
isekai,supernatural,isekai|supernatural,1.0,1.0,neutral
isekai,space,isekai|space,1.0,1.0,neutral
isekai,magical,isekai|magical,1.0,1.0,neutral
isekai,survival,isekai|survival,1.0,1.0,neutral
isekai,pirate,isekai|pirate,1.18,1.18,supportive
isekai,martial,isekai|martial,1.0,1.0,neutral
isekai,mythology,isekai|mythology,1.0,1.0,neutral
isekai,nordic,isekai|nordic,1.0,1.0,neutral
slice,horror,horror|slice,1.0,1.3,experimental
slice,romance,romance|slice,1.2,1.2,strong
slice,sports,slice|sports,1.1,1.1,supportive
slice,cyber,cyber|slice,1.0,1.22,experimental
slice,fantasy,fantasy|slice,1.0,1.0,neutral
slice,idol,idol|slice,1.15,1.15,supportive
slice,mystery,mystery|slice,1.0,1.0,neutral
slice,comedy,comedy|slice,1.16,1.16,supportive
slice,cooking,cooking|slice,1.18,1.18,supportive
slice,military,military|slice,1.0,1.0,neutral
slice,supernatural,slice|supernatural,1.0,1.0,neutral
slice,space,slice|space,1.0,1.24,experimental
slice,magical,magical|slice,1.0,1.0,neutral
slice,survival,slice|survival,1.0,1.18,experimental
slice,pirate,pirate|slice,1.0,1.0,neutral
slice,martial,martial|slice,1.0,1.0,neutral
slice,mythology,mythology|slice,1.0,1.0,neutral
slice,nordic,nordic|slice,1.0,1.0,neutral
horror,romance,horror|romance,1.0,1.16,experimental
horror,sports,horror|sports,0.8,0.8,risky
horror,cyber,cyber|horror,1.1,1.1,supportive
horror,fantasy,fantasy|horror,1.0,1.0,neutral
horror,idol,horror|idol,1.0,1.28,experimental
horror,mystery,horror|mystery,1.25,1.25,strong
horror,comedy,comedy|horror,0.82,0.82,risky
horror,cooking,cooking|horror,1.0,1.26,experimental
horror,military,horror|military,1.0,1.0,neutral
horror,supernatural,horror|supernatural,1.2,1.2,strong
horror,space,horror|space,1.0,1.0,neutral
horror,magical,horror|magical,1.0,1.0,neutral
horror,survival,horror|survival,1.22,1.22,strong
horror,pirate,horror|pirate,1.0,1.0,neutral
horror,martial,horror|martial,1.0,1.0,neutral
horror,mythology,horror|mythology,1.0,1.0,neutral
horror,nordic,horror|nordic,1.0,1.0,neutral
romance,sports,romance|sports,1.0,1.0,neutral
romance,cyber,cyber|romance,1.0,1.0,neutral
romance,fantasy,fantasy|romance,1.0,1.0,neutral
romance,idol,idol|romance,1.0,1.0,neutral
romance,mystery,mystery|romance,1.0,1.18,experimental
romance,comedy,comedy|romance,1.0,1.0,neutral
romance,cooking,cooking|romance,1.0,1.0,neutral
romance,military,military|romance,1.0,1.0,neutral
romance,supernatural,romance|supernatural,1.0,1.0,neutral
romance,space,romance|space,1.0,1.0,neutral
romance,magical,magical|romance,1.0,1.0,neutral
romance,survival,romance|survival,1.0,1.0,neutral
romance,pirate,pirate|romance,1.0,1.0,neutral
romance,martial,martial|romance,1.0,1.0,neutral
romance,mythology,mythology|romance,1.0,1.0,neutral
romance,nordic,nordic|romance,1.0,1.0,neutral
sports,cyber,cyber|sports,1.0,1.0,neutral
sports,fantasy,fantasy|sports,1.0,1.0,neutral
sports,idol,idol|sports,1.0,1.0,neutral
sports,mystery,mystery|sports,1.0,1.26,experimental
sports,comedy,comedy|sports,1.0,1.0,neutral
sports,cooking,cooking|sports,1.0,1.0,neutral
sports,military,military|sports,1.0,1.0,neutral
sports,supernatural,sports|supernatural,1.0,1.0,neutral
sports,space,space|sports,1.0,1.0,neutral
sports,magical,magical|sports,1.0,1.0,neutral
sports,survival,sports|survival,1.0,1.0,neutral
sports,pirate,pirate|sports,1.0,1.0,neutral
sports,martial,martial|sports,1.25,1.25,strong
sports,mythology,mythology|sports,1.0,1.0,neutral
sports,nordic,nordic|sports,1.0,1.0,neutral
cyber,fantasy,cyber|fantasy,1.0,1.15,experimental
cyber,idol,cyber|idol,1.0,1.0,neutral
cyber,mystery,cyber|mystery,1.2,1.2,strong
cyber,comedy,comedy|cyber,1.0,1.0,neutral
cyber,cooking,cooking|cyber,1.0,1.0,neutral
cyber,military,cyber|military,1.0,1.0,neutral
cyber,supernatural,cyber|supernatural,1.0,1.0,neutral
cyber,space,cyber|space,1.16,1.16,supportive
cyber,magical,cyber|magical,1.0,1.0,neutral
cyber,survival,cyber|survival,1.0,1.0,neutral
cyber,pirate,cyber|pirate,1.0,1.0,neutral
cyber,martial,cyber|martial,1.0,1.0,neutral
cyber,mythology,cyber|mythology,1.0,1.0,neutral
cyber,nordic,cyber|nordic,1.0,1.14,experimental
fantasy,idol,fantasy|idol,1.0,1.0,neutral
fantasy,mystery,fantasy|mystery,1.0,1.0,neutral
fantasy,comedy,comedy|fantasy,1.0,1.0,neutral
fantasy,cooking,cooking|fantasy,1.0,1.0,neutral
fantasy,military,fantasy|military,1.0,1.0,neutral
fantasy,supernatural,fantasy|supernatural,1.0,1.0,neutral
fantasy,space,fantasy|space,1.0,1.0,neutral
fantasy,magical,fantasy|magical,1.0,1.0,neutral
fantasy,survival,fantasy|survival,1.0,1.0,neutral
fantasy,pirate,fantasy|pirate,1.2,1.2,strong
