stable_id,manifest_filename,actual_path,source_sha256,source_width,source_height,selected,donor,replacement_for,status,notes
v4_lead_shonen_001,001__v4_lead_shonen_001.png,batch_01_001-080/001__v4_lead_shonen_001.png,d95d9ca630b8fa849959254d376192ca3a72ffabd4cf8ed4db87bb6a47a61225,229,252,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_002,002__v4_lead_shonen_002.png,batch_01_001-080/002__v4_lead_shonen_002.png,ed1da2b5448048653ebbbe447159faafecea2fd2f92805782966573771977812,209,252,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_003,003__v4_lead_shonen_003.png,batch_01_001-080/003__v4_lead_shonen_003.png,8ec2795c01412758a6411c05dae1e56d79682cefccefdbb7886a2249189e2a6f,222,252,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_004,004__v4_lead_shonen_004.png,batch_01_001-080/004__v4_lead_shonen_004.png,d5eab01ac465d9be7c1768efeddc3065bc25dbf148908bd22c1ac3c7cff82d11,190,252,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_005,005__v4_lead_shonen_005.png,batch_01_001-080/005__v4_lead_shonen_005.png,063232769f01c55705ba6ff1209861dd2144f0f219b4ed7dcd60b7aa27ef3ea8,180,252,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_006,006__v4_lead_shonen_006.png,batch_01_001-080/006__v4_lead_shonen_006.png,c03327cd8c83b27e05fa382db0d62df269a4302bc401931fd697930dc3596bef,149,252,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_007,007__v4_lead_shonen_007.png,batch_01_001-080/007__v4_lead_shonen_007.png,9c13d5506727e2cfe994458752a33354b913dc1da4de38ee81e264f5189706ae,144,252,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_008,008__v4_lead_shonen_008.png,batch_01_001-080/008__v4_lead_shonen_008.png,d5bef1865a6befc3e9164441dca150be6f1a78df989e43a743b46295bf69546f,148,252,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_009,009__v4_lead_shonen_009.png,batch_01_001-080/009__v4_lead_shonen_009.png,70f5c31803a7bd56539a13affb645eb98495c57b8be4c9114d88224b43992f17,190,228,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_010,010__v4_lead_shonen_010.png,batch_01_001-080/010__v4_lead_shonen_010.png,486af7ef6d6d86a254e6e260cda7c87dbc5bc71297f2ee7977e38d656e208060,203,228,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_011,011__v4_lead_shonen_011.png,batch_01_001-080/011__v4_lead_shonen_011.png,869a029341b428333b259efaf7792631be08ce3a5c4ec52a1be386b677490ff0,197,228,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_012,012__v4_lead_shonen_012.png,batch_01_001-080/012__v4_lead_shonen_012.png,e9777ed121170c548988bf046d0e63e30c62b9c76dbecc4fe296fe1bac0e032d,188,228,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_013,013__v4_lead_shonen_013.png,batch_01_001-080/013__v4_lead_shonen_013.png,609580bd7a5b7f5270e8f3fa55435f81a08eb8efcecd2adca4dad2f3a3982b9b,203,228,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
v4_lead_shonen_014,014__v4_lead_shonen_014.png,batch_01_001-080/014__v4_lead_shonen_014.png,d52a6cb47e22dbad2167f1498db8549d74ced5e0109f76ba7ce4aa327b664574,165,228,TRUE,FALSE,,manifest_exact,Manifest filename and batch path present exactly.
