asset_category,source_pack,filename,canonical_id,entity_type,target_repo_path,target_runtime_path,operation,pair_id,dependencies,import_order,width,height,sha256,archive_member
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_001.webp,cv3_lead_001,cast,game_source/public/cast/v3/cv3_lead_001.webp,/cast/v3/cv3_lead_001.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,5e8669d744fa2ea49820fc6073540a0842d22e36d762d6171a18fb171b0bf3fa,runtime/game_source/public/cast/v3/cv3_lead_001.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_002.webp,cv3_lead_002,cast,game_source/public/cast/v3/cv3_lead_002.webp,/cast/v3/cv3_lead_002.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,de8100a2f8506ab92994f1762ba20e36b4649527dfdd09c6c3078e13c5e4c710,runtime/game_source/public/cast/v3/cv3_lead_002.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_003.webp,cv3_lead_003,cast,game_source/public/cast/v3/cv3_lead_003.webp,/cast/v3/cv3_lead_003.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,d69284adbd95106b74740e5cb4e0c0e1e8dfbc3a386cc5bc3a955e8fba5400fe,runtime/game_source/public/cast/v3/cv3_lead_003.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_004.webp,cv3_lead_004,cast,game_source/public/cast/v3/cv3_lead_004.webp,/cast/v3/cv3_lead_004.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,c693c0eaa635a100e47d53d74704e046e1cd17a58214b76b239ed89823c3ec1a,runtime/game_source/public/cast/v3/cv3_lead_004.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_005.webp,cv3_lead_005,cast,game_source/public/cast/v3/cv3_lead_005.webp,/cast/v3/cv3_lead_005.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,b029c7802940ab4fcdca51208bccc79034ca984f0c43766c25c341156e600fd0,runtime/game_source/public/cast/v3/cv3_lead_005.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_006.webp,cv3_lead_006,cast,game_source/public/cast/v3/cv3_lead_006.webp,/cast/v3/cv3_lead_006.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,54cb49d5f85438e281bf32b9d78429bf54a791cd1c2b521fd735d60d61ab7611,runtime/game_source/public/cast/v3/cv3_lead_006.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_007.webp,cv3_lead_007,cast,game_source/public/cast/v3/cv3_lead_007.webp,/cast/v3/cv3_lead_007.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,c57060fb6ebd2c075c231dd76e5d83ea23a3e8c28487aec63461d8af28b01c54,runtime/game_source/public/cast/v3/cv3_lead_007.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_008.webp,cv3_lead_008,cast,game_source/public/cast/v3/cv3_lead_008.webp,/cast/v3/cv3_lead_008.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,f9c9b4f2baa7c50b920a3e8f107041badc3f47a9be9d16b905ed46858a0afdf1,runtime/game_source/public/cast/v3/cv3_lead_008.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_009.webp,cv3_lead_009,cast,game_source/public/cast/v3/cv3_lead_009.webp,/cast/v3/cv3_lead_009.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,4a512daa400fee58c48a5a32e18f2743fc67ef9595dda9e6d9789c974fdc1961,runtime/game_source/public/cast/v3/cv3_lead_009.webp
cast portrait,ANIME_TYCOON_CAST_V3_PACK.zip,cv3_lead_010.webp,cv3_lead_010,cast,game_source/public/cast/v3/cv3_lead_010.webp,/cast/v3/cv3_lead_010.webp,add,,CAST_V3_RUNTIME.json registration; optional epithet schema.,1,512,512,47dbe340512d915ea091d1eb2f219a36a5ce9225ce57ce7909fcff3a9fef19e3,runtime/game_source/public/cast/v3/cv3_lead_010.webp
