id,filename,sheet,cell,source_width,source_height,crop_box,source_cell_width,source_cell_height,width,height,sha256,qc
cv3_lead_001,cv3_lead_001.webp,cast_v3_sheet_01,1,1774,887,"(2, 2, 442, 442)",440,440,512,512,5e8669d744fa2ea49820fc6073540a0842d22e36d762d6171a18fb171b0bf3fa,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_002,cv3_lead_002.webp,cast_v3_sheet_01,2,1774,887,"(445, 2, 885, 442)",440,440,512,512,de8100a2f8506ab92994f1762ba20e36b4649527dfdd09c6c3078e13c5e4c710,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_003,cv3_lead_003.webp,cast_v3_sheet_01,3,1774,887,"(889, 2, 1329, 442)",440,440,512,512,d69284adbd95106b74740e5cb4e0c0e1e8dfbc3a386cc5bc3a955e8fba5400fe,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_004,cv3_lead_004.webp,cast_v3_sheet_01,4,1774,887,"(1332, 2, 1772, 442)",440,440,512,512,c693c0eaa635a100e47d53d74704e046e1cd17a58214b76b239ed89823c3ec1a,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_005,cv3_lead_005.webp,cast_v3_sheet_01,5,1774,887,"(2, 445, 442, 885)",440,440,512,512,b029c7802940ab4fcdca51208bccc79034ca984f0c43766c25c341156e600fd0,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_006,cv3_lead_006.webp,cast_v3_sheet_01,6,1774,887,"(445, 445, 885, 885)",440,440,512,512,54cb49d5f85438e281bf32b9d78429bf54a791cd1c2b521fd735d60d61ab7611,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_007,cv3_lead_007.webp,cast_v3_sheet_01,7,1774,887,"(889, 445, 1329, 885)",440,440,512,512,c57060fb6ebd2c075c231dd76e5d83ea23a3e8c28487aec63461d8af28b01c54,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_008,cv3_lead_008.webp,cast_v3_sheet_01,8,1774,887,"(1332, 445, 1772, 885)",440,440,512,512,f9c9b4f2baa7c50b920a3e8f107041badc3f47a9be9d16b905ed46858a0afdf1,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_009,cv3_lead_009.webp,cast_v3_sheet_02,1,1774,887,"(2, 2, 442, 442)",440,440,512,512,4a512daa400fee58c48a5a32e18f2743fc67ef9595dda9e6d9789c974fdc1961,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_010,cv3_lead_010.webp,cast_v3_sheet_02,2,1774,887,"(445, 2, 885, 442)",440,440,512,512,47dbe340512d915ea091d1eb2f219a36a5ce9225ce57ce7909fcff3a9fef19e3,PASS_WITH_DOCUMENTED_STYLE_LIMITS
cv3_lead_011,cv3_lead_011.webp,cast_v3_sheet_02,3,1774,887,"(889, 2, 1329, 442)",440,440,512,512,ee69ba4b5e9f6a4474830524db666b96f9d8f3fc8b16c0d19ebe414240ab9e72,PASS_WITH_DOCUMENTED_STYLE_LIMITS
