role,genre_a,genre_b,count,ids
protag,comedy,cooking,0,[]
protag,comedy,cyber,1,"[""nana""]"
protag,comedy,fantasy,1,"[""shiori""]"
protag,comedy,horror,1,"[""shiori""]"
protag,comedy,idol,2,"[""momo"", ""nana""]"
protag,comedy,isekai,1,"[""jun""]"
protag,comedy,magical,0,[]
protag,comedy,martial,1,"[""kenta""]"
protag,comedy,mecha,0,[]
protag,comedy,military,0,[]
protag,comedy,mystery,0,[]
protag,comedy,mythology,1,"[""kenta""]"
protag,comedy,nordic,1,"[""jun""]"
protag,comedy,pirate,0,[]
protag,comedy,romance,0,[]
protag,comedy,samurai,0,[]
protag,comedy,shinobi,0,[]
protag,comedy,slice,0,[]
protag,comedy,space,0,[]
protag,comedy,sports,0,[]
protag,comedy,supernatural,0,[]
protag,comedy,survival,1,"[""momo""]"
protag,cooking,cyber,0,[]
protag,cooking,fantasy,0,[]
protag,cooking,horror,1,"[""zuri""]"
protag,cooking,idol,0,[]
protag,cooking,isekai,1,"[""n_mikoto""]"
protag,cooking,magical,2,"[""n_mikoto"", ""emi""]"
protag,cooking,martial,1,"[""kai""]"
protag,cooking,mecha,1,"[""zuri""]"
protag,cooking,military,1,"[""emi""]"
protag,cooking,mystery,0,[]
protag,cooking,mythology,0,[]
protag,cooking,nordic,0,[]
protag,cooking,pirate,0,[]
protag,cooking,romance,0,[]
protag,cooking,samurai,0,[]
protag,cooking,shinobi,0,[]
protag,cooking,slice,1,"[""yui""]"
protag,cooking,space,0,[]
protag,cooking,sports,1,"[""kai""]"
protag,cooking,supernatural,0,[]
protag,cooking,survival,1,"[""yui""]"
protag,cyber,fantasy,0,[]
protag,cyber,horror,1,"[""kage""]"
protag,cyber,idol,1,"[""nana""]"
protag,cyber,isekai,0,[]
protag,cyber,magical,1,"[""niko""]"
protag,cyber,martial,1,"[""kuro""]"
protag,cyber,mecha,1,"[""niko""]"
protag,cyber,military,1,"[""kuro""]"
protag,cyber,mystery,2,"[""kage"", ""akira""]"
protag,cyber,mythology,2,"[""sota"", ""hana""]"
protag,cyber,nordic,1,"[""akira""]"
protag,cyber,pirate,0,[]
protag,cyber,romance,1,"[""hana""]"
protag,cyber,samurai,0,[]
protag,cyber,shinobi,0,[]
protag,cyber,slice,1,"[""sota""]"
protag,cyber,space,0,[]
protag,cyber,sports,0,[]
protag,cyber,supernatural,0,[]
protag,cyber,survival,0,[]
protag,fantasy,horror,1,"[""shiori""]"
protag,fantasy,idol,0,[]
protag,fantasy,isekai,2,"[""sora"", ""n_aoi""]"
protag,fantasy,magical,0,[]
protag,fantasy,martial,1,"[""ryu""]"
protag,fantasy,mecha,1,"[""kota""]"
protag,fantasy,military,1,"[""sora""]"
protag,fantasy,mystery,1,"[""mako""]"
protag,fantasy,mythology,1,"[""n_aoi""]"
protag,fantasy,nordic,1,"[""kota""]"
protag,fantasy,pirate,1,"[""mako""]"
protag,fantasy,romance,1,"[""ryu""]"
protag,fantasy,samurai,0,[]
protag,fantasy,shinobi,0,[]
protag,fantasy,slice,0,[]
protag,fantasy,space,0,[]
protag,fantasy,sports,0,[]
protag,fantasy,supernatural,0,[]
protag,fantasy,survival,0,[]
protag,horror,idol,1,"[""airi""]"
protag,horror,isekai,0,[]
protag,horror,magical,0,[]
protag,horror,martial,0,[]
protag,horror,mecha,1,"[""zuri""]"
protag,horror,military,0,[]
protag,horror,mystery,1,"[""kage""]"
protag,horror,mythology,0,[]
protag,horror,nordic,1,"[""yuki""]"
protag,horror,pirate,0,[]
protag,horror,romance,2,"[""airi"", ""haru""]"
protag,horror,samurai,0,[]
protag,horror,shinobi,0,[]
protag,horror,slice,0,[]
protag,horror,space,0,[]
protag,horror,sports,1,"[""haru""]"
protag,horror,supernatural,0,[]
protag,horror,survival,1,"[""yuki""]"
protag,idol,isekai,1,"[""n_saku""]"
protag,idol,magical,1,"[""n_reiwa""]"
protag,idol,martial,1,"[""n_saku""]"
protag,idol,mecha,1,"[""riko""]"
protag,idol,military,1,"[""leo""]"
protag,idol,mystery,2,"[""riko"", ""n_reiwa""]"
protag,idol,mythology,1,"[""mira""]"
protag,idol,nordic,0,[]
protag,idol,pirate,1,"[""mio""]"
protag,idol,romance,2,"[""airi"", ""mio""]"
protag,idol,samurai,0,[]
protag,idol,shinobi,0,[]
protag,idol,slice,0,[]
protag,idol,space,1,"[""mira""]"
protag,idol,sports,1,"[""leo""]"
protag,idol,supernatural,0,[]
protag,idol,survival,1,"[""momo""]"
protag,isekai,magical,1,"[""n_mikoto""]"
protag,isekai,martial,1,"[""n_saku""]"
protag,isekai,mecha,0,[]
protag,isekai,military,1,"[""sora""]"
protag,isekai,mystery,0,[]
protag,isekai,mythology,1,"[""n_aoi""]"
protag,isekai,nordic,1,"[""jun""]"
protag,isekai,pirate,1,"[""kaito""]"
protag,isekai,romance,1,"[""kaito""]"
protag,isekai,samurai,0,[]
protag,isekai,shinobi,0,[]
protag,isekai,slice,0,[]
protag,isekai,space,0,[]
protag,isekai,sports,0,[]
protag,isekai,supernatural,0,[]
protag,isekai,survival,0,[]
protag,magical,martial,2,"[""goro"", ""sakura""]"
protag,magical,mecha,1,"[""niko""]"
protag,magical,military,2,"[""hikari"", ""emi""]"
protag,magical,mystery,1,"[""n_reiwa""]"
protag,magical,mythology,0,[]
protag,magical,nordic,0,[]
protag,magical,pirate,0,[]
protag,magical,romance,1,"[""hikari""]"
protag,magical,samurai,0,[]
protag,magical,shinobi,0,[]
protag,magical,slice,0,[]
protag,magical,space,1,"[""sakura""]"
protag,magical,sports,1,"[""goro""]"
protag,magical,supernatural,0,[]
protag,magical,survival,0,[]
protag,martial,mecha,1,"[""n_ryoko""]"
protag,martial,military,1,"[""kuro""]"
protag,martial,mystery,0,[]
protag,martial,mythology,1,"[""kenta""]"
protag,martial,nordic,1,"[""kaede""]"
protag,martial,pirate,1,"[""ash""]"
protag,martial,romance,1,"[""ryu""]"
protag,martial,samurai,0,[]
protag,martial,shinobi,0,[]
protag,martial,slice,1,"[""kaede""]"
protag,martial,space,2,"[""sakura"", ""n_ryoko""]"
protag,martial,sports,2,"[""kai"", ""goro""]"
protag,martial,supernatural,0,[]
protag,martial,survival,1,"[""ash""]"
protag,mecha,military,1,"[""rei""]"
protag,mecha,mystery,2,"[""riko"", ""takumi""]"
protag,mecha,mythology,0,[]
protag,mecha,nordic,1,"[""kota""]"
protag,mecha,pirate,0,[]
protag,mecha,romance,1,"[""takumi""]"
protag,mecha,samurai,0,[]
protag,mecha,shinobi,0,[]
protag,mecha,slice,1,"[""jin""]"
protag,mecha,space,2,"[""rei"", ""n_ryoko""]"
protag,mecha,sports,0,[]
protag,mecha,supernatural,0,[]
protag,mecha,survival,1,"[""jin""]"
protag,military,mystery,0,[]
protag,military,mythology,0,[]
protag,military,nordic,0,[]
protag,military,pirate,0,[]
protag,military,romance,1,"[""hikari""]"
protag,military,samurai,0,[]
protag,military,shinobi,0,[]
protag,military,slice,0,[]
protag,military,space,1,"[""rei""]"
protag,military,sports,1,"[""leo""]"
protag,military,supernatural,1,"[""daichi""]"
protag,military,survival,1,"[""daichi""]"
protag,mystery,mythology,1,"[""saki""]"
protag,mystery,nordic,2,"[""akira"", ""renji""]"
protag,mystery,pirate,2,"[""mako"", ""shiro""]"
protag,mystery,romance,1,"[""takumi""]"
protag,mystery,samurai,0,[]
protag,mystery,shinobi,0,[]
protag,mystery,slice,2,"[""shiro"", ""saki""]"
protag,mystery,space,0,[]
protag,mystery,sports,0,[]
protag,mystery,supernatural,1,"[""renji""]"
protag,mystery,survival,0,[]
protag,mythology,nordic,0,[]
protag,mythology,pirate,0,[]
protag,mythology,romance,1,"[""hana""]"
protag,mythology,samurai,0,[]
protag,mythology,shinobi,0,[]
protag,mythology,slice,2,"[""sota"", ""saki""]"
protag,mythology,space,1,"[""mira""]"
protag,mythology,sports,1,"[""suzume""]"
protag,mythology,supernatural,1,"[""suzume""]"
protag,mythology,survival,0,[]
protag,nordic,pirate,0,[]
protag,nordic,romance,0,[]
protag,nordic,samurai,0,[]
protag,nordic,shinobi,0,[]
protag,nordic,slice,1,"[""kaede""]"
protag,nordic,space,0,[]
protag,nordic,sports,0,[]
protag,nordic,supernatural,1,"[""renji""]"
protag,nordic,survival,1,"[""yuki""]"
protag,pirate,romance,2,"[""kaito"", ""mio""]"
protag,pirate,samurai,0,[]
protag,pirate,shinobi,0,[]
protag,pirate,slice,2,"[""rin"", ""shiro""]"
