id,name,epithet,role,roleLabel,type,visibleAff,hiddenAff,pairEdges,existingGapsSupplied,firstAssignedGaps,archetype,personality,gender,species,ageBand,culturalBasis,visualConcept,costumeNotes,poseAction,backgroundConcept,portraitPrompt,spoilerConstraints,img,status,productionAdaptation
cv3_lead_001,Hajime Suda,The Laughing Banquet,protag,Lead,shonen,"[""comedy"", ""cooking""]",pirate,"[""comedy|cooking"", ""comedy|pirate"", ""cooking|pirate""]","[""comedy|cooking"", ""comedy|pirate"", ""cooking|pirate""]","[""comedy|cooking"", ""comedy|pirate"", ""cooking|pirate""]",misrule performer caught in a cooking conflict,Keeps every promise in a pocket ledger. Chooses responsibility over the easy victory.,male,human,20–29,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","male adult with short tousled black hair, warm brown skin; misrule performer caught in a cooking conflict",saffron jacket with an asymmetric cuff; a restrained secondary cue from rolled sleeves and a burgundy cross-back apron,"pivoting into the light with a determined sideways glance, a folding fan caught mid-flourish",a festival rehearsal courtyard; secondary environment cue: a tiled open kitchen beside a market,"One standalone square premium anime game portrait. Subject: male adult with short tousled black hair, warm brown skin; misrule performer caught in a cooking conflict. Costume: saffron jacket with an asymmetric cuff; a restrained secondary cue from rolled sleeves and a burgundy cross-back apron. Action: pivoting into the light with a determined sideways glance, a folding fan caught mid-flourish. Setting: a festival rehearsal courtyard; secondary environment cue: a tiled open kitchen beside a market. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts comedy and cooking. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity pirate is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_001.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_002,Nao Suda,Supper Among Stars,protag,Lead,shonen,"[""cooking"", ""space""]",comedy,"[""comedy|cooking"", ""comedy|space"", ""cooking|space""]","[""comedy|cooking"", ""comedy|space"", ""cooking|space""]","[""comedy|space"", ""cooking|space""]",culinary challenger caught in a space conflict,Repairs things while thinking through an apology. Chooses responsibility over the easy victory.,female,human,30–39,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","female adult with chestnut bob with a side clip, deep brown skin; culinary challenger caught in a space conflict",rolled sleeves and a burgundy cross-back apron; a restrained secondary cue from white-and-navy pressure-suit layers with orange seals,"taking one measured step toward the viewer, a steaming pan tilted into the light",a tiled open kitchen beside a market; secondary environment cue: a station observation deck overlooking a planet,"One standalone square premium anime game portrait. Subject: female adult with chestnut bob with a side clip, deep brown skin; culinary challenger caught in a space conflict. Costume: rolled sleeves and a burgundy cross-back apron; a restrained secondary cue from white-and-navy pressure-suit layers with orange seals. Action: taking one measured step toward the viewer, a steaming pan tilted into the light. Setting: a tiled open kitchen beside a market; secondary environment cue: a station observation deck overlooking a planet. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts cooking and space. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity comedy is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_002.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_003,Isamu Kishi,The Vanishing Punchline,protag,Lead,shonen,"[""shinobi"", ""comedy""]",magical,"[""comedy|magical"", ""comedy|shinobi"", ""magical|shinobi""]","[""comedy|magical"", ""comedy|shinobi"", ""magical|shinobi""]","[""comedy|magical"", ""comedy|shinobi"", ""magical|shinobi""]",covert operative refusing a disposable mission caught in a comedy conflict,Asks the quietest person for their view first. Chooses responsibility over the easy victory.,male,human,40–49,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","male adult with close-cropped dark hair with a shaved part, light warm skin; covert operative refusing a disposable mission caught in a comedy conflict","smoke-blue fitted field layers, cloth wraps and a compact tool pouch; a restrained secondary cue from saffron jacket with an asymmetric cuff","turning sharply as fabric trails behind, a climbing cord and compact grappling hook",a tiled roof above a guarded archive at dusk; secondary environment cue: a festival rehearsal courtyard,"One standalone square premium anime game portrait. Subject: male adult with close-cropped dark hair with a shaved part, light warm skin; covert operative refusing a disposable mission caught in a comedy conflict. Costume: smoke-blue fitted field layers, cloth wraps and a compact tool pouch; a restrained secondary cue from saffron jacket with an asymmetric cuff. Action: turning sharply as fabric trails behind, a climbing cord and compact grappling hook. Setting: a tiled roof above a guarded archive at dusk; secondary environment cue: a festival rehearsal courtyard. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts shinobi and comedy. Show covert positioning, a cord/tool pouch or stealth route; no branded headband or franchise symbols. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume.","Hidden affinity magical is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_003.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_004,Chiyo Kishi,Laughing Steel,protag,Lead,shonen,"[""mecha"", ""comedy""]",sports,"[""comedy|mecha"", ""comedy|sports"", ""mecha|sports""]","[""comedy|mecha"", ""comedy|sports"", ""mecha|sports""]","[""comedy|mecha"", ""comedy|sports"", ""mecha|sports""]",test-rig pilot caught in a comedy conflict,Practises difficult conversations before dawn. Chooses responsibility over the easy victory.,female,human,20–29,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","female adult with long black braid, olive skin; test-rig pilot caught in a comedy conflict",practical flight suit with harness and work gloves; a restrained secondary cue from saffron jacket with an asymmetric cuff,"kneeling to inspect an important detail, a cockpit control grip",an open cockpit with a large mech shoulder in the hangar beyond; secondary environment cue: a festival rehearsal courtyard,"One standalone square premium anime game portrait. Subject: female adult with long black braid, olive skin; test-rig pilot caught in a comedy conflict. Costume: practical flight suit with harness and work gloves; a restrained secondary cue from saffron jacket with an asymmetric cuff. Action: kneeling to inspect an important detail, a cockpit control grip. Setting: an open cockpit with a large mech shoulder in the hangar beyond; secondary environment cue: a festival rehearsal courtyard. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts mecha and comedy. Show unmistakable functional cockpit, mech shoulder or support rig; keep the character as the focus. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity sports is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_004.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_005,Renzo Naruse,Witness Under Fire,protag,Lead,shonen,"[""military"", ""mystery""]",comedy,"[""comedy|military"", ""comedy|mystery"", ""military|mystery""]","[""comedy|military"", ""comedy|mystery"", ""military|mystery""]","[""comedy|military"", ""comedy|mystery"", ""military|mystery""]",officer protecting a divided unit caught in a mystery conflict,Remembers kindness longer than insults. Chooses responsibility over the easy victory.,male,human,20–29,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","male adult with silver-streaked swept-back hair, warm brown skin; officer protecting a divided unit caught in a mystery conflict",olive field jacket with blank unit tabs and practical boots; a restrained secondary cue from slate tailored coat with a mustard scarf,"bracing against a gust with steady eye contact, a folded unlettered field map",a floodlit logistics yard with supply vehicles; secondary environment cue: a rainlit archive doorway,"One standalone square premium anime game portrait. Subject: male adult with silver-streaked swept-back hair, warm brown skin; officer protecting a divided unit caught in a mystery conflict. Costume: olive field jacket with blank unit tabs and practical boots; a restrained secondary cue from slate tailored coat with a mustard scarf. Action: bracing against a gust with steady eye contact, a folded unlettered field map. Setting: a floodlit logistics yard with supply vehicles; secondary environment cue: a rainlit archive doorway. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts military and mystery. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity comedy is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_005.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_006,Ayame Naruse,Small Everyday Wonders,protag,Lead,shonen,"[""slice"", ""comedy""]",romance,"[""comedy|romance"", ""comedy|slice"", ""romance|slice""]","[""comedy|romance"", ""comedy|slice"", ""romance|slice""]","[""comedy|romance"", ""comedy|slice"", ""romance|slice""]",neighbour holding a community together caught in a comedy conflict,Cannot resist improving a badly made plan. Chooses responsibility over the easy victory.,female,human,30–39,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","female adult with dark auburn wavy shoulder-length hair, deep brown skin; neighbour holding a community together caught in a comedy conflict","moss cardigan, canvas trousers and comfortable shoes; a restrained secondary cue from saffron jacket with an asymmetric cuff","leaning over a low rail while extending the main prop, a ceramic mug and a small notebook without writing",a sunlit neighbourhood courtyard; secondary environment cue: a festival rehearsal courtyard,"One standalone square premium anime game portrait. Subject: female adult with dark auburn wavy shoulder-length hair, deep brown skin; neighbour holding a community together caught in a comedy conflict. Costume: moss cardigan, canvas trousers and comfortable shoes; a restrained secondary cue from saffron jacket with an asymmetric cuff. Action: leaning over a low rail while extending the main prop, a ceramic mug and a small notebook without writing. Setting: a sunlit neighbourhood courtyard; secondary environment cue: a festival rehearsal courtyard. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts slice and comedy. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity romance is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_006.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_007,Toma Teshima,The Grinning Ronin,protag,Lead,shonen,"[""samurai"", ""comedy""]",supernatural,"[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]","[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]","[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]",ronin questioning a sworn duty caught in a comedy conflict,"Laughs when nervous, then does the difficult thing. Chooses responsibility over the easy victory.",male,human,40–49,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","male adult with curly dark hair, light warm skin; ronin questioning a sworn duty caught in a comedy conflict",muted ochre haori over indigo hakama with a plain clan clasp; a restrained secondary cue from saffron jacket with an asymmetric cuff,"moving laterally across the scene in a controlled stride, a sheathed katana with visible hilt",a feudal gatehouse with a windswept stone approach; secondary environment cue: a festival rehearsal courtyard,"One standalone square premium anime game portrait. Subject: male adult with curly dark hair, light warm skin; ronin questioning a sworn duty caught in a comedy conflict. Costume: muted ochre haori over indigo hakama with a plain clan clasp; a restrained secondary cue from saffron jacket with an asymmetric cuff. Action: moving laterally across the scene in a controlled stride, a sheathed katana with visible hilt. Setting: a feudal gatehouse with a windswept stone approach; secondary environment cue: a festival rehearsal courtyard. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts samurai and comedy. Show a sheathed or carefully controlled sword, haori/hakama or retainer cue appropriate to the subject; no generic ninja substitution. No robots, mechs, powered armour or cockpit. No ninja costume or covert-clan insignia.","Hidden affinity supernatural is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_007.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_008,Eri Teshima,Neon Afterlife,protag,Lead,shonen,"[""cyber"", ""supernatural""]",cooking,"[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]","[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]","[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]",network whistleblower caught in a supernatural conflict,Collects small gifts for people far from home. Chooses responsibility over the easy victory.,female,human,20–29,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","female adult with short asymmetric brown cut, olive skin; network whistleblower caught in a supernatural conflict",graphite utility coat with restrained teal seams; a restrained secondary cue from deep-violet everyday layers with pale cord fastenings,"standing calmly while the environment moves around them, a handheld diagnostic slate",a rainlit cable-lined transit arcade; secondary environment cue: an old city lane with subtle impossible reflections,"One standalone square premium anime game portrait. Subject: female adult with short asymmetric brown cut, olive skin; network whistleblower caught in a supernatural conflict. Costume: graphite utility coat with restrained teal seams; a restrained secondary cue from deep-violet everyday layers with pale cord fastenings. Action: standing calmly while the environment moves around them, a handheld diagnostic slate. Setting: a rainlit cable-lined transit arcade; secondary environment cue: an old city lane with subtle impossible reflections. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts cyber and supernatural. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity cooking is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_008.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_009,Naoki Hoshino,The Midnight Menu,protag,Lead,shonen,"[""idol"", ""cooking""]",fantasy,"[""cooking|fantasy"", ""cooking|idol"", ""fantasy|idol""]","[""cooking|fantasy"", ""cooking|idol"", ""fantasy|idol""]","[""cooking|fantasy"", ""cooking|idol"", ""fantasy|idol""]",performer reclaiming the stage caught in a cooking conflict,Refuses credit until the whole team is named. Chooses responsibility over the easy victory.,male,human,20–29,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","male adult with short tousled black hair, warm brown skin; performer reclaiming the stage caught in a cooking conflict",ink-blue stage jacket with silver geometric piping; a restrained secondary cue from rolled sleeves and a burgundy cross-back apron,"pivoting into the light with a determined sideways glance, a wireless microphone",a rehearsal stage with blurred amber footlights; secondary environment cue: a tiled open kitchen beside a market,"One standalone square premium anime game portrait. Subject: male adult with short tousled black hair, warm brown skin; performer reclaiming the stage caught in a cooking conflict. Costume: ink-blue stage jacket with silver geometric piping; a restrained secondary cue from rolled sleeves and a burgundy cross-back apron. Action: pivoting into the light with a determined sideways glance, a wireless microphone. Setting: a rehearsal stage with blurred amber footlights; secondary environment cue: a tiled open kitchen beside a market. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts idol and cooking. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume. No ninja costume or covert-clan insignia.","Hidden affinity fantasy is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_009.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
cv3_lead_010,Fumika Hoshino,Feast Without Footprints,protag,Lead,shonen,"[""shinobi"", ""cooking""]",mystery,"[""cooking|mystery"", ""cooking|shinobi"", ""mystery|shinobi""]","[""cooking|mystery"", ""cooking|shinobi"", ""mystery|shinobi""]","[""cooking|mystery"", ""cooking|shinobi"", ""mystery|shinobi""]",covert operative refusing a disposable mission caught in a cooking conflict,Takes enormous care with other people’s belongings. Chooses responsibility over the easy victory.,female,human,30–39,"Japanese fictional setting; costume follows the visible genre setting, not a claim of historical authenticity","female adult with chestnut bob with a side clip, deep brown skin; covert operative refusing a disposable mission caught in a cooking conflict","smoke-blue fitted field layers, cloth wraps and a compact tool pouch; a restrained secondary cue from rolled sleeves and a burgundy cross-back apron","taking one measured step toward the viewer, a climbing cord and compact grappling hook",a tiled roof above a guarded archive at dusk; secondary environment cue: a tiled open kitchen beside a market,"One standalone square premium anime game portrait. Subject: female adult with chestnut bob with a side clip, deep brown skin; covert operative refusing a disposable mission caught in a cooking conflict. Costume: smoke-blue fitted field layers, cloth wraps and a compact tool pouch; a restrained secondary cue from rolled sleeves and a burgundy cross-back apron. Action: taking one measured step toward the viewer, a climbing cord and compact grappling hook. Setting: a tiled roof above a guarded archive at dusk; secondary environment cue: a tiled open kitchen beside a market. Exactly one main character, face clear; rich painted material light and fine anime contours matching audited current cast; strong diagonal composition, warm focal light, cooler background depth; no text, logos, labels, UI or borders. Only depict the two visible concepts shinobi and cooking. Show covert positioning, a cord/tool pouch or stealth route; no branded headband or franchise symbols. No robots, mechs, powered armour or cockpit. No katana or samurai clan costume.","Hidden affinity mystery is internal metadata only: do not name, draw or hint at it in public art or epithet. Secondary cues must remain within visible affinities.",cast/v3/cv3_lead_010.webp,ART_EXPORTED_ASSET_QC_COMPLETE_ENGINE_REVIEW_PENDING,
