role,genre_a,genre_b,new_covering_ids,status
protag,comedy,cooking,"[""cv3_lead_001"", ""cv3_lead_002""]",SOLVED
protag,comedy,magical,"[""cv3_lead_003""]",SOLVED
protag,comedy,mecha,"[""cv3_lead_004""]",SOLVED
protag,comedy,military,"[""cv3_lead_005""]",SOLVED
protag,comedy,mystery,"[""cv3_lead_005""]",SOLVED
protag,comedy,pirate,"[""cv3_lead_001""]",SOLVED
protag,comedy,romance,"[""cv3_lead_006""]",SOLVED
protag,comedy,samurai,"[""cv3_lead_007""]",SOLVED
protag,comedy,shinobi,"[""cv3_lead_003""]",SOLVED
protag,comedy,slice,"[""cv3_lead_006""]",SOLVED
protag,comedy,space,"[""cv3_lead_002""]",SOLVED
protag,comedy,sports,"[""cv3_lead_004""]",SOLVED
protag,comedy,supernatural,"[""cv3_lead_007""]",SOLVED
protag,cooking,cyber,"[""cv3_lead_008""]",SOLVED
protag,cooking,fantasy,"[""cv3_lead_009""]",SOLVED
protag,cooking,idol,"[""cv3_lead_009""]",SOLVED
protag,cooking,mystery,"[""cv3_lead_010""]",SOLVED
protag,cooking,mythology,"[""cv3_lead_011""]",SOLVED
protag,cooking,nordic,"[""cv3_lead_012""]",SOLVED
protag,cooking,pirate,"[""cv3_lead_001""]",SOLVED
protag,cooking,romance,"[""cv3_lead_012""]",SOLVED
protag,cooking,samurai,"[""cv3_lead_011""]",SOLVED
protag,cooking,shinobi,"[""cv3_lead_010"", ""cv3_lead_050""]",SOLVED
protag,cooking,space,"[""cv3_lead_002""]",SOLVED
protag,cooking,supernatural,"[""cv3_lead_008""]",SOLVED
protag,cyber,fantasy,"[""cv3_lead_013""]",SOLVED
protag,cyber,isekai,"[""cv3_lead_014""]",SOLVED
protag,cyber,pirate,"[""cv3_lead_015""]",SOLVED
protag,cyber,samurai,"[""cv3_lead_015""]",SOLVED
protag,cyber,shinobi,"[""cv3_lead_016""]",SOLVED
protag,cyber,space,"[""cv3_lead_016""]",SOLVED
protag,cyber,sports,"[""cv3_lead_013""]",SOLVED
protag,cyber,supernatural,"[""cv3_lead_008""]",SOLVED
protag,cyber,survival,"[""cv3_lead_014""]",SOLVED
protag,fantasy,idol,"[""cv3_lead_009"", ""cv3_lead_017""]",SOLVED
protag,fantasy,magical,"[""cv3_lead_018""]",SOLVED
protag,fantasy,samurai,"[""cv3_lead_019""]",SOLVED
protag,fantasy,shinobi,"[""cv3_lead_020""]",SOLVED
protag,fantasy,slice,"[""cv3_lead_018""]",SOLVED
protag,fantasy,space,"[""cv3_lead_019""]",SOLVED
protag,fantasy,sports,"[""cv3_lead_013""]",SOLVED
protag,fantasy,supernatural,"[""cv3_lead_017""]",SOLVED
protag,fantasy,survival,"[""cv3_lead_020""]",SOLVED
protag,horror,isekai,"[""cv3_lead_021""]",SOLVED
protag,horror,magical,"[""cv3_lead_022"", ""cv3_lead_023""]",SOLVED
protag,horror,martial,"[""cv3_lead_024""]",SOLVED
protag,horror,military,"[""cv3_lead_024""]",SOLVED
protag,horror,mythology,"[""cv3_lead_025""]",SOLVED
protag,horror,pirate,"[""cv3_lead_025""]",SOLVED
protag,horror,samurai,"[""cv3_lead_022""]",SOLVED
protag,horror,shinobi,"[""cv3_lead_021""]",SOLVED
protag,horror,slice,"[""cv3_lead_026""]",SOLVED
protag,horror,space,"[""cv3_lead_026""]",SOLVED
protag,horror,supernatural,"[""cv3_lead_023""]",SOLVED
protag,idol,nordic,"[""cv3_lead_027""]",SOLVED
protag,idol,samurai,"[""cv3_lead_027""]",SOLVED
protag,idol,shinobi,"[""cv3_lead_028"", ""cv3_lead_052""]",SOLVED
protag,idol,slice,"[""cv3_lead_028""]",SOLVED
protag,idol,supernatural,"[""cv3_lead_017""]",SOLVED
protag,isekai,mecha,"[""cv3_lead_029""]",SOLVED
protag,isekai,mystery,"[""cv3_lead_030""]",SOLVED
protag,isekai,samurai,"[""cv3_lead_029""]",SOLVED
protag,isekai,shinobi,"[""cv3_lead_021""]",SOLVED
protag,isekai,slice,"[""cv3_lead_031""]",SOLVED
protag,isekai,space,"[""cv3_lead_032""]",SOLVED
protag,isekai,sports,"[""cv3_lead_030""]",SOLVED
