role,genre_a,genre_b,existing_ids,new_ids,total,status
protag,comedy,cooking,[],"[""cv3_lead_001"", ""cv3_lead_002""]",2,COVERED
protag,comedy,cyber,"[""nana""]",[],1,COVERED
protag,comedy,fantasy,"[""shiori""]",[],1,COVERED
protag,comedy,horror,"[""shiori""]",[],1,COVERED
protag,comedy,idol,"[""momo"", ""nana""]",[],2,COVERED
protag,comedy,isekai,"[""jun""]",[],1,COVERED
protag,comedy,magical,[],"[""cv3_lead_003""]",1,COVERED
protag,comedy,martial,"[""kenta""]",[],1,COVERED
protag,comedy,mecha,[],"[""cv3_lead_004""]",1,COVERED
protag,comedy,military,[],"[""cv3_lead_005""]",1,COVERED
protag,comedy,mystery,[],"[""cv3_lead_005""]",1,COVERED
protag,comedy,mythology,"[""kenta""]",[],1,COVERED
protag,comedy,nordic,"[""jun""]",[],1,COVERED
protag,comedy,pirate,[],"[""cv3_lead_001""]",1,COVERED
protag,comedy,romance,[],"[""cv3_lead_006""]",1,COVERED
protag,comedy,samurai,[],"[""cv3_lead_007""]",1,COVERED
protag,comedy,shinobi,[],"[""cv3_lead_003""]",1,COVERED
protag,comedy,slice,[],"[""cv3_lead_006""]",1,COVERED
protag,comedy,space,[],"[""cv3_lead_002""]",1,COVERED
protag,comedy,sports,[],"[""cv3_lead_004""]",1,COVERED
protag,comedy,supernatural,[],"[""cv3_lead_007""]",1,COVERED
protag,comedy,survival,"[""momo""]",[],1,COVERED
protag,cooking,cyber,[],"[""cv3_lead_008""]",1,COVERED
protag,cooking,fantasy,[],"[""cv3_lead_009""]",1,COVERED
protag,cooking,horror,"[""zuri""]",[],1,COVERED
protag,cooking,idol,[],"[""cv3_lead_009""]",1,COVERED
protag,cooking,isekai,"[""n_mikoto""]",[],1,COVERED
protag,cooking,magical,"[""n_mikoto"", ""emi""]",[],2,COVERED
protag,cooking,martial,"[""kai""]",[],1,COVERED
protag,cooking,mecha,"[""zuri""]",[],1,COVERED
protag,cooking,military,"[""emi""]",[],1,COVERED
protag,cooking,mystery,[],"[""cv3_lead_010""]",1,COVERED
protag,cooking,mythology,[],"[""cv3_lead_011""]",1,COVERED
protag,cooking,nordic,[],"[""cv3_lead_012""]",1,COVERED
protag,cooking,pirate,[],"[""cv3_lead_001""]",1,COVERED
protag,cooking,romance,[],"[""cv3_lead_012""]",1,COVERED
protag,cooking,samurai,[],"[""cv3_lead_011""]",1,COVERED
protag,cooking,shinobi,[],"[""cv3_lead_010"", ""cv3_lead_050""]",2,COVERED
protag,cooking,slice,"[""yui""]","[""cv3_lead_050""]",2,COVERED
protag,cooking,space,[],"[""cv3_lead_002""]",1,COVERED
protag,cooking,sports,"[""kai""]",[],1,COVERED
protag,cooking,supernatural,[],"[""cv3_lead_008""]",1,COVERED
protag,cooking,survival,"[""yui""]",[],1,COVERED
protag,cyber,fantasy,[],"[""cv3_lead_013""]",1,COVERED
protag,cyber,horror,"[""kage""]",[],1,COVERED
protag,cyber,idol,"[""nana""]",[],1,COVERED
protag,cyber,isekai,[],"[""cv3_lead_014""]",1,COVERED
protag,cyber,magical,"[""niko""]",[],1,COVERED
protag,cyber,martial,"[""kuro""]",[],1,COVERED
protag,cyber,mecha,"[""niko""]",[],1,COVERED
protag,cyber,military,"[""kuro""]",[],1,COVERED
protag,cyber,mystery,"[""kage"", ""akira""]",[],2,COVERED
protag,cyber,mythology,"[""sota"", ""hana""]",[],2,COVERED
protag,cyber,nordic,"[""akira""]",[],1,COVERED
protag,cyber,pirate,[],"[""cv3_lead_015""]",1,COVERED
protag,cyber,romance,"[""hana""]",[],1,COVERED
protag,cyber,samurai,[],"[""cv3_lead_015""]",1,COVERED
protag,cyber,shinobi,[],"[""cv3_lead_016""]",1,COVERED
protag,cyber,slice,"[""sota""]",[],1,COVERED
protag,cyber,space,[],"[""cv3_lead_016""]",1,COVERED
protag,cyber,sports,[],"[""cv3_lead_013""]",1,COVERED
protag,cyber,supernatural,[],"[""cv3_lead_008""]",1,COVERED
protag,cyber,survival,[],"[""cv3_lead_014""]",1,COVERED
protag,fantasy,horror,"[""shiori""]",[],1,COVERED
protag,fantasy,idol,[],"[""cv3_lead_009"", ""cv3_lead_017""]",2,COVERED
protag,fantasy,isekai,"[""sora"", ""n_aoi""]",[],2,COVERED
protag,fantasy,magical,[],"[""cv3_lead_018""]",1,COVERED
protag,fantasy,martial,"[""ryu""]",[],1,COVERED
protag,fantasy,mecha,"[""kota""]",[],1,COVERED
protag,fantasy,military,"[""sora""]",[],1,COVERED
protag,fantasy,mystery,"[""mako""]",[],1,COVERED
protag,fantasy,mythology,"[""n_aoi""]",[],1,COVERED
protag,fantasy,nordic,"[""kota""]",[],1,COVERED
protag,fantasy,pirate,"[""mako""]",[],1,COVERED
protag,fantasy,romance,"[""ryu""]",[],1,COVERED
protag,fantasy,samurai,[],"[""cv3_lead_019""]",1,COVERED
protag,fantasy,shinobi,[],"[""cv3_lead_020""]",1,COVERED
protag,fantasy,slice,[],"[""cv3_lead_018""]",1,COVERED
protag,fantasy,space,[],"[""cv3_lead_019""]",1,COVERED
protag,fantasy,sports,[],"[""cv3_lead_013""]",1,COVERED
protag,fantasy,supernatural,[],"[""cv3_lead_017""]",1,COVERED
protag,fantasy,survival,[],"[""cv3_lead_020""]",1,COVERED
protag,horror,idol,"[""airi""]",[],1,COVERED
protag,horror,isekai,[],"[""cv3_lead_021""]",1,COVERED
protag,horror,magical,[],"[""cv3_lead_022"", ""cv3_lead_023""]",2,COVERED
protag,horror,martial,[],"[""cv3_lead_024""]",1,COVERED
protag,horror,mecha,"[""zuri""]",[],1,COVERED
protag,horror,military,[],"[""cv3_lead_024""]",1,COVERED
protag,horror,mystery,"[""kage""]",[],1,COVERED
protag,horror,mythology,[],"[""cv3_lead_025""]",1,COVERED
protag,horror,nordic,"[""yuki""]",[],1,COVERED
protag,horror,pirate,[],"[""cv3_lead_025""]",1,COVERED
protag,horror,romance,"[""airi"", ""haru""]",[],2,COVERED
protag,horror,samurai,[],"[""cv3_lead_022""]",1,COVERED
protag,horror,shinobi,[],"[""cv3_lead_021""]",1,COVERED
protag,horror,slice,[],"[""cv3_lead_026""]",1,COVERED
protag,horror,space,[],"[""cv3_lead_026""]",1,COVERED
protag,horror,sports,"[""haru""]",[],1,COVERED
protag,horror,supernatural,[],"[""cv3_lead_023""]",1,COVERED
protag,horror,survival,"[""yuki""]",[],1,COVERED
protag,idol,isekai,"[""n_saku""]",[],1,COVERED
protag,idol,magical,"[""n_reiwa""]",[],1,COVERED
protag,idol,martial,"[""n_saku""]",[],1,COVERED
protag,idol,mecha,"[""riko""]",[],1,COVERED
protag,idol,military,"[""leo""]",[],1,COVERED
protag,idol,mystery,"[""riko"", ""n_reiwa""]",[],2,COVERED
protag,idol,mythology,"[""mira""]",[],1,COVERED
protag,idol,nordic,[],"[""cv3_lead_027""]",1,COVERED
protag,idol,pirate,"[""mio""]",[],1,COVERED
protag,idol,romance,"[""airi"", ""mio""]",[],2,COVERED
protag,idol,samurai,[],"[""cv3_lead_027""]",1,COVERED
protag,idol,shinobi,[],"[""cv3_lead_028"", ""cv3_lead_052""]",2,COVERED
protag,idol,slice,[],"[""cv3_lead_028""]",1,COVERED
protag,idol,space,"[""mira""]",[],1,COVERED
protag,idol,sports,"[""leo""]","[""cv3_lead_052""]",2,COVERED
protag,idol,supernatural,[],"[""cv3_lead_017""]",1,COVERED
protag,idol,survival,"[""momo""]",[],1,COVERED
protag,isekai,magical,"[""n_mikoto""]",[],1,COVERED
protag,isekai,martial,"[""n_saku""]",[],1,COVERED
protag,isekai,mecha,[],"[""cv3_lead_029""]",1,COVERED
protag,isekai,military,"[""sora""]",[],1,COVERED
protag,isekai,mystery,[],"[""cv3_lead_030""]",1,COVERED
protag,isekai,mythology,"[""n_aoi""]",[],1,COVERED
protag,isekai,nordic,"[""jun""]",[],1,COVERED
protag,isekai,pirate,"[""kaito""]",[],1,COVERED
protag,isekai,romance,"[""kaito""]",[],1,COVERED
protag,isekai,samurai,[],"[""cv3_lead_029""]",1,COVERED
protag,isekai,shinobi,[],"[""cv3_lead_021""]",1,COVERED
protag,isekai,slice,[],"[""cv3_lead_031""]",1,COVERED
protag,isekai,space,[],"[""cv3_lead_032""]",1,COVERED
protag,isekai,sports,[],"[""cv3_lead_030""]",1,COVERED
protag,isekai,supernatural,[],"[""cv3_lead_031"", ""cv3_lead_032""]",2,COVERED
protag,isekai,survival,[],"[""cv3_lead_014""]",1,COVERED
protag,magical,martial,"[""goro"", ""sakura""]",[],2,COVERED
protag,magical,mecha,"[""niko""]",[],1,COVERED
protag,magical,military,"[""hikari"", ""emi""]",[],2,COVERED
protag,magical,mystery,"[""n_reiwa""]",[],1,COVERED
protag,magical,mythology,[],"[""cv3_lead_033""]",1,COVERED
protag,magical,nordic,[],"[""cv3_lead_034""]",1,COVERED
protag,magical,pirate,[],"[""cv3_lead_034""]",1,COVERED
protag,magical,romance,"[""hikari""]",[],1,COVERED
protag,magical,samurai,[],"[""cv3_lead_022""]",1,COVERED
protag,magical,shinobi,[],"[""cv3_lead_003""]",1,COVERED
protag,magical,slice,[],"[""cv3_lead_018""]",1,COVERED
protag,magical,space,"[""sakura""]",[],1,COVERED
protag,magical,sports,"[""goro""]",[],1,COVERED
protag,magical,supernatural,[],"[""cv3_lead_023""]",1,COVERED
protag,magical,survival,[],"[""cv3_lead_033""]",1,COVERED
protag,martial,mecha,"[""n_ryoko""]",[],1,COVERED
protag,martial,military,"[""kuro""]","[""cv3_lead_024""]",2,COVERED
protag,martial,mystery,[],"[""cv3_lead_035""]",1,COVERED
protag,martial,mythology,"[""kenta""]",[],1,COVERED
protag,martial,nordic,"[""kaede""]",[],1,COVERED
protag,martial,pirate,"[""ash""]",[],1,COVERED
protag,martial,romance,"[""ryu""]",[],1,COVERED
protag,martial,samurai,[],"[""cv3_lead_035"", ""cv3_lead_047""]",2,COVERED
protag,martial,shinobi,[],"[""cv3_lead_036"", ""cv3_lead_047""]",2,COVERED
protag,martial,slice,"[""kaede""]",[],1,COVERED
protag,martial,space,"[""sakura"", ""n_ryoko""]",[],2,COVERED
protag,martial,sports,"[""kai"", ""goro""]",[],2,COVERED
protag,martial,supernatural,[],"[""cv3_lead_036""]",1,COVERED
protag,martial,survival,"[""ash""]",[],1,COVERED
protag,mecha,military,"[""rei""]",[],1,COVERED
protag,mecha,mystery,"[""riko"", ""takumi""]",[],2,COVERED
protag,mecha,mythology,[],"[""cv3_lead_037""]",1,COVERED
protag,mecha,nordic,"[""kota""]",[],1,COVERED
protag,mecha,pirate,[],"[""cv3_lead_038""]",1,COVERED
protag,mecha,romance,"[""takumi""]",[],1,COVERED
protag,mecha,samurai,[],"[""cv3_lead_029"", ""cv3_lead_048""]",2,COVERED
protag,mecha,shinobi,[],"[""cv3_lead_037"", ""cv3_lead_048""]",2,COVERED
protag,mecha,slice,"[""jin""]",[],1,COVERED
protag,mecha,space,"[""rei"", ""n_ryoko""]",[],2,COVERED
protag,mecha,sports,[],"[""cv3_lead_004""]",1,COVERED
protag,mecha,supernatural,[],"[""cv3_lead_038""]",1,COVERED
protag,mecha,survival,"[""jin""]",[],1,COVERED
protag,military,mystery,[],"[""cv3_lead_005""]",1,COVERED
protag,military,mythology,[],"[""cv3_lead_039""]",1,COVERED
protag,military,nordic,[],"[""cv3_lead_039""]",1,COVERED
protag,military,pirate,[],"[""cv3_lead_040""]",1,COVERED
protag,military,romance,"[""hikari""]",[],1,COVERED
protag,military,samurai,[],"[""cv3_lead_041""]",1,COVERED
protag,military,shinobi,[],"[""cv3_lead_040""]",1,COVERED
protag,military,slice,[],"[""cv3_lead_041""]",1,COVERED
protag,military,space,"[""rei""]",[],1,COVERED
protag,military,sports,"[""leo""]",[],1,COVERED
protag,military,supernatural,"[""daichi""]",[],1,COVERED
protag,military,survival,"[""daichi""]",[],1,COVERED
protag,mystery,mythology,"[""saki""]",[],1,COVERED
protag,mystery,nordic,"[""akira"", ""renji""]",[],2,COVERED
protag,mystery,pirate,"[""mako"", ""shiro""]",[],2,COVERED
protag,mystery,romance,"[""takumi""]",[],1,COVERED
protag,mystery,samurai,[],"[""cv3_lead_035""]",1,COVERED
protag,mystery,shinobi,[],"[""cv3_lead_010""]",1,COVERED
protag,mystery,slice,"[""shiro"", ""saki""]",[],2,COVERED
protag,mystery,space,[],"[""cv3_lead_042""]",1,COVERED
protag,mystery,sports,[],"[""cv3_lead_030""]",1,COVERED
protag,mystery,supernatural,"[""renji""]",[],1,COVERED
protag,mystery,survival,[],"[""cv3_lead_042""]",1,COVERED
protag,mythology,nordic,[],"[""cv3_lead_039""]",1,COVERED
protag,mythology,pirate,[],"[""cv3_lead_025""]",1,COVERED
protag,mythology,romance,"[""hana""]",[],1,COVERED
protag,mythology,samurai,[],"[""cv3_lead_011""]",1,COVERED
protag,mythology,shinobi,[],"[""cv3_lead_037""]",1,COVERED
protag,mythology,slice,"[""sota"", ""saki""]",[],2,COVERED
protag,mythology,space,"[""mira""]",[],1,COVERED
protag,mythology,sports,"[""suzume""]",[],1,COVERED
protag,mythology,supernatural,"[""suzume""]",[],1,COVERED
protag,mythology,survival,[],"[""cv3_lead_033""]",1,COVERED
protag,nordic,pirate,[],"[""cv3_lead_034"", ""cv3_lead_043""]",2,COVERED
protag,nordic,romance,[],"[""cv3_lead_012""]",1,COVERED
protag,nordic,samurai,[],"[""cv3_lead_027"", ""cv3_lead_051""]",2,COVERED
protag,nordic,shinobi,[],"[""cv3_lead_044""]",1,COVERED
protag,nordic,slice,"[""kaede""]",[],1,COVERED
protag,nordic,space,[],"[""cv3_lead_043""]",1,COVERED
protag,nordic,sports,[],"[""cv3_lead_044""]",1,COVERED
protag,nordic,supernatural,"[""renji""]",[],1,COVERED
protag,nordic,survival,"[""yuki""]","[""cv3_lead_051""]",2,COVERED
protag,pirate,romance,"[""kaito"", ""mio""]",[],2,COVERED
protag,pirate,samurai,[],"[""cv3_lead_015""]",1,COVERED
protag,pirate,shinobi,[],"[""cv3_lead_040""]",1,COVERED
protag,pirate,slice,"[""rin"", ""shiro""]",[],2,COVERED
protag,pirate,space,[],"[""cv3_lead_043""]",1,COVERED
protag,pirate,sports,"[""rin""]",[],1,COVERED
protag,pirate,supernatural,[],"[""cv3_lead_038""]",1,COVERED
protag,pirate,survival,"[""ash""]",[],1,COVERED
protag,romance,samurai,[],"[""cv3_lead_045"", ""cv3_lead_049""]",2,COVERED
protag,romance,shinobi,[],"[""cv3_lead_045""]",1,COVERED
protag,romance,slice,[],"[""cv3_lead_006"", ""cv3_lead_049""]",2,COVERED
protag,romance,space,"[""n_chisato""]",[],1,COVERED
protag,romance,sports,"[""haru"", ""n_chisato""]",[],2,COVERED
protag,romance,supernatural,"[""itsuki""]",[],1,COVERED
protag,romance,survival,"[""itsuki""]",[],1,COVERED
protag,samurai,shinobi,[],"[""cv3_lead_045"", ""cv3_lead_047"", ""cv3_lead_048""]",3,COVERED
protag,samurai,slice,[],"[""cv3_lead_041"", ""cv3_lead_049""]",2,COVERED
