id,role,type,visibleAff,hiddenAff,pairEdges,existingGapsSupplied,firstAssignedGaps
cv3_lead_001,protag,shonen,"[""comedy"", ""cooking""]",pirate,"[""comedy|cooking"", ""comedy|pirate"", ""cooking|pirate""]","[""comedy|cooking"", ""comedy|pirate"", ""cooking|pirate""]","[""comedy|cooking"", ""comedy|pirate"", ""cooking|pirate""]"
cv3_lead_002,protag,shonen,"[""cooking"", ""space""]",comedy,"[""comedy|cooking"", ""comedy|space"", ""cooking|space""]","[""comedy|cooking"", ""comedy|space"", ""cooking|space""]","[""comedy|space"", ""cooking|space""]"
cv3_lead_003,protag,shonen,"[""shinobi"", ""comedy""]",magical,"[""comedy|magical"", ""comedy|shinobi"", ""magical|shinobi""]","[""comedy|magical"", ""comedy|shinobi"", ""magical|shinobi""]","[""comedy|magical"", ""comedy|shinobi"", ""magical|shinobi""]"
cv3_lead_004,protag,shonen,"[""mecha"", ""comedy""]",sports,"[""comedy|mecha"", ""comedy|sports"", ""mecha|sports""]","[""comedy|mecha"", ""comedy|sports"", ""mecha|sports""]","[""comedy|mecha"", ""comedy|sports"", ""mecha|sports""]"
cv3_lead_005,protag,shonen,"[""military"", ""mystery""]",comedy,"[""comedy|military"", ""comedy|mystery"", ""military|mystery""]","[""comedy|military"", ""comedy|mystery"", ""military|mystery""]","[""comedy|military"", ""comedy|mystery"", ""military|mystery""]"
cv3_lead_006,protag,shonen,"[""slice"", ""comedy""]",romance,"[""comedy|romance"", ""comedy|slice"", ""romance|slice""]","[""comedy|romance"", ""comedy|slice"", ""romance|slice""]","[""comedy|romance"", ""comedy|slice"", ""romance|slice""]"
cv3_lead_007,protag,shonen,"[""samurai"", ""comedy""]",supernatural,"[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]","[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]","[""comedy|samurai"", ""comedy|supernatural"", ""samurai|supernatural""]"
cv3_lead_008,protag,shonen,"[""cyber"", ""supernatural""]",cooking,"[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]","[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]","[""cooking|cyber"", ""cooking|supernatural"", ""cyber|supernatural""]"
cv3_lead_009,protag,shonen,"[""idol"", ""cooking""]",fantasy,"[""cooking|fantasy"", ""cooking|idol"", ""fantasy|idol""]","[""cooking|fantasy"", ""cooking|idol"", ""fantasy|idol""]","[""cooking|fantasy"", ""cooking|idol"", ""fantasy|idol""]"
cv3_lead_010,protag,shonen,"[""shinobi"", ""cooking""]",mystery,"[""cooking|mystery"", ""cooking|shinobi"", ""mystery|shinobi""]","[""cooking|mystery"", ""cooking|shinobi"", ""mystery|shinobi""]","[""cooking|mystery"", ""cooking|shinobi"", ""mystery|shinobi""]"
cv3_lead_011,protag,shonen,"[""samurai"", ""cooking""]",mythology,"[""cooking|mythology"", ""cooking|samurai"", ""mythology|samurai""]","[""cooking|mythology"", ""cooking|samurai"", ""mythology|samurai""]","[""cooking|mythology"", ""cooking|samurai"", ""mythology|samurai""]"
cv3_lead_012,protag,shonen,"[""romance"", ""cooking""]",nordic,"[""cooking|nordic"", ""cooking|romance"", ""nordic|romance""]","[""cooking|nordic"", ""cooking|romance"", ""nordic|romance""]","[""cooking|nordic"", ""cooking|romance"", ""nordic|romance""]"
cv3_lead_013,protag,shonen,"[""cyber"", ""fantasy""]",sports,"[""cyber|fantasy"", ""cyber|sports"", ""fantasy|sports""]","[""cyber|fantasy"", ""cyber|sports"", ""fantasy|sports""]","[""cyber|fantasy"", ""cyber|sports"", ""fantasy|sports""]"
cv3_lead_014,protag,shonen,"[""isekai"", ""survival""]",cyber,"[""cyber|isekai"", ""cyber|survival"", ""isekai|survival""]","[""cyber|isekai"", ""cyber|survival"", ""isekai|survival""]","[""cyber|isekai"", ""cyber|survival"", ""isekai|survival""]"
cv3_lead_015,protag,shonen,"[""samurai"", ""cyber""]",pirate,"[""cyber|pirate"", ""cyber|samurai"", ""pirate|samurai""]","[""cyber|pirate"", ""cyber|samurai"", ""pirate|samurai""]","[""cyber|pirate"", ""cyber|samurai"", ""pirate|samurai""]"
cv3_lead_016,protag,shonen,"[""shinobi"", ""cyber""]",space,"[""cyber|shinobi"", ""cyber|space"", ""shinobi|space""]","[""cyber|shinobi"", ""cyber|space"", ""shinobi|space""]","[""cyber|shinobi"", ""cyber|space"", ""shinobi|space""]"
cv3_lead_017,protag,shonen,"[""idol"", ""supernatural""]",fantasy,"[""fantasy|idol"", ""fantasy|supernatural"", ""idol|supernatural""]","[""fantasy|idol"", ""fantasy|supernatural"", ""idol|supernatural""]","[""fantasy|supernatural"", ""idol|supernatural""]"
cv3_lead_018,protag,shonen,"[""slice"", ""fantasy""]",magical,"[""fantasy|magical"", ""fantasy|slice"", ""magical|slice""]","[""fantasy|magical"", ""fantasy|slice"", ""magical|slice""]","[""fantasy|magical"", ""fantasy|slice"", ""magical|slice""]"
