genre_1,genre_2,key,first_release_multiplier,learned_multiplier,discovery_class
mecha,samurai,mecha|samurai,1,1,neutral
mecha,shinobi,mecha|shinobi,1,1,neutral
isekai,samurai,isekai|samurai,1,1,neutral
isekai,shinobi,isekai|shinobi,1,1,neutral
slice,samurai,samurai|slice,1,1,neutral
slice,shinobi,shinobi|slice,1,1,neutral
horror,samurai,horror|samurai,1,1,neutral
horror,shinobi,horror|shinobi,1,1,neutral
romance,samurai,romance|samurai,1.12,1.12,supportive
romance,shinobi,romance|shinobi,1,1,neutral
sports,samurai,samurai|sports,1,1,neutral
sports,shinobi,shinobi|sports,1,1,neutral
cyber,samurai,cyber|samurai,1,1,neutral
cyber,shinobi,cyber|shinobi,1.12,1.12,supportive
fantasy,samurai,fantasy|samurai,1,1,neutral
fantasy,shinobi,fantasy|shinobi,1,1,neutral
idol,samurai,idol|samurai,0.9,0.9,risky
idol,shinobi,idol|shinobi,0.9,0.9,risky
mystery,samurai,mystery|samurai,1.12,1.12,supportive
mystery,shinobi,mystery|shinobi,1.22,1.22,strong
comedy,samurai,comedy|samurai,1,1,neutral
comedy,shinobi,comedy|shinobi,1,1,neutral
cooking,samurai,cooking|samurai,1,1,neutral
cooking,shinobi,cooking|shinobi,0.9,0.9,risky
military,samurai,military|samurai,1.22,1.22,strong
military,shinobi,military|shinobi,1.12,1.12,supportive
supernatural,samurai,samurai|supernatural,1,1,neutral
supernatural,shinobi,shinobi|supernatural,1.12,1.12,supportive
space,samurai,samurai|space,0.9,0.9,risky
space,shinobi,shinobi|space,1,1,neutral
magical,samurai,magical|samurai,1,1,neutral
magical,shinobi,magical|shinobi,1,1,neutral
survival,samurai,samurai|survival,1,1,neutral
survival,shinobi,shinobi|survival,1,1,neutral
pirate,samurai,pirate|samurai,1,1,neutral
pirate,shinobi,pirate|shinobi,1,1,neutral
martial,samurai,martial|samurai,1.12,1.12,supportive
martial,shinobi,martial|shinobi,1.12,1.12,supportive
mythology,samurai,mythology|samurai,1,1,neutral
mythology,shinobi,mythology|shinobi,1,1,neutral
nordic,samurai,nordic|samurai,1.12,1.12,supportive
nordic,shinobi,nordic|shinobi,1,1,neutral
samurai,shinobi,samurai|shinobi,1.12,1.12,supportive
