asset_category,source_pack,filename,canonical_id,entity_type,target_repo_path,target_runtime_path,operation,pair_id,dependencies,import_order,width,height,sha256,archive_member
worker sprite,ANIME_TYCOON_WORKERS_PACK.zip,sprite-worker-17.png,worker_17,worker look,game_source/public/img/sprite-worker-17.png,/img/sprite-worker-17.png,add,worker_17,Append WORKER_LOOKS index 15,1,448,640,547328c1ecdd4e68d3a21563161bc210def7651d2faa85975503638520606486,runtime/game_source/public/img/sprite-worker-17.png
worker portrait,ANIME_TYCOON_WORKERS_PACK.zip,portrait-worker-17.png,worker_17,worker look,game_source/public/img/portrait-worker-17.png,/img/portrait-worker-17.png,add,worker_17,Append WORKER_LOOKS index 15,1,224,224,9c6c0dd188ede02c92d1dd7a3182270f98d2311c25211c1595054cd870c7b188,runtime/game_source/public/img/portrait-worker-17.png
worker sprite,ANIME_TYCOON_WORKERS_PACK.zip,sprite-worker-18.png,worker_18,worker look,game_source/public/img/sprite-worker-18.png,/img/sprite-worker-18.png,add,worker_18,Append WORKER_LOOKS index 16,1,448,640,6a7e5cb9b447c858b66a00b97f842868725e29202c36ccc83cddff60ad42326b,runtime/game_source/public/img/sprite-worker-18.png
worker portrait,ANIME_TYCOON_WORKERS_PACK.zip,portrait-worker-18.png,worker_18,worker look,game_source/public/img/portrait-worker-18.png,/img/portrait-worker-18.png,add,worker_18,Append WORKER_LOOKS index 16,1,224,224,b334d2bf57011e255ec1321058e4d8aea45da03b8e0d47696a967cc70872d51d,runtime/game_source/public/img/portrait-worker-18.png
worker sprite,ANIME_TYCOON_WORKERS_PACK.zip,sprite-worker-19.png,worker_19,worker look,game_source/public/img/sprite-worker-19.png,/img/sprite-worker-19.png,add,worker_19,Append WORKER_LOOKS index 17,1,448,640,a752c1f059132b8ead152862c3ebbca9d61d704e2157fc606cf616806e6f90e3,runtime/game_source/public/img/sprite-worker-19.png
worker portrait,ANIME_TYCOON_WORKERS_PACK.zip,portrait-worker-19.png,worker_19,worker look,game_source/public/img/portrait-worker-19.png,/img/portrait-worker-19.png,add,worker_19,Append WORKER_LOOKS index 17,1,224,224,aa9575393f698f5ed9d128d03dc666299b0b1636874f412490de195182fcabfb,runtime/game_source/public/img/portrait-worker-19.png
worker sprite,ANIME_TYCOON_WORKERS_PACK.zip,sprite-worker-20.png,worker_20,worker look,game_source/public/img/sprite-worker-20.png,/img/sprite-worker-20.png,add,worker_20,Append WORKER_LOOKS index 18,1,448,640,a78be69f141b8c67107e751d0a368917dab2134266f853bf98ea483b88eca639,runtime/game_source/public/img/sprite-worker-20.png
worker portrait,ANIME_TYCOON_WORKERS_PACK.zip,portrait-worker-20.png,worker_20,worker look,game_source/public/img/portrait-worker-20.png,/img/portrait-worker-20.png,add,worker_20,Append WORKER_LOOKS index 18,1,224,224,b09d805f11fb212fb7c9c15507618e8a6b51ee80abc1895403c036d8d41d81f6,runtime/game_source/public/img/portrait-worker-20.png
worker sprite,ANIME_TYCOON_WORKERS_PACK.zip,sprite-worker-21.png,worker_21,worker look,game_source/public/img/sprite-worker-21.png,/img/sprite-worker-21.png,add,worker_21,Append WORKER_LOOKS index 19,1,448,640,6438ca34fa8440745e8a0baff7307d01da54b9dac80997e562ef75b4a36fedc0,runtime/game_source/public/img/sprite-worker-21.png
worker portrait,ANIME_TYCOON_WORKERS_PACK.zip,portrait-worker-21.png,worker_21,worker look,game_source/public/img/portrait-worker-21.png,/img/portrait-worker-21.png,add,worker_21,Append WORKER_LOOKS index 19,1,224,224,e9a073e1f5654fe7df251bb6e719fe85c21d1db746fe0d0ea34183108feba304,runtime/game_source/public/img/portrait-worker-21.png
worker sprite,ANIME_TYCOON_WORKERS_PACK.zip,sprite-worker-22.png,worker_22,worker look,game_source/public/img/sprite-worker-22.png,/img/sprite-worker-22.png,add,worker_22,Append WORKER_LOOKS index 20,1,448,640,48cecfb4dcd711600cc4e22358a55c4509cf458c8b6a5aa32daffffe360ccf22,runtime/game_source/public/img/sprite-worker-22.png
worker portrait,ANIME_TYCOON_WORKERS_PACK.zip,portrait-worker-22.png,worker_22,worker look,game_source/public/img/portrait-worker-22.png,/img/portrait-worker-22.png,add,worker_22,Append WORKER_LOOKS index 20,1,224,224,fcdec70dcd0cc1cbc1b2e4e18fbc31333a56fb06f433e7f662e35eebb212a47f,runtime/game_source/public/img/portrait-worker-22.png
worker sprite,ANIME_TYCOON_WORKERS_PACK.zip,sprite-worker-23.png,worker_23,worker look,game_source/public/img/sprite-worker-23.png,/img/sprite-worker-23.png,add,worker_23,Append WORKER_LOOKS index 21,1,448,640,3e963ea5cceee58d659d133a43ed8968ddf44e475dd8c5e134193812bb263844,runtime/game_source/public/img/sprite-worker-23.png
worker portrait,ANIME_TYCOON_WORKERS_PACK.zip,portrait-worker-23.png,worker_23,worker look,game_source/public/img/portrait-worker-23.png,/img/portrait-worker-23.png,add,worker_23,Append WORKER_LOOKS index 21,1,224,224,6283d772fd4799107fd27550ae27f9a6e225adeaa067994b8936c16edcc78ba4,runtime/game_source/public/img/portrait-worker-23.png
showrunner sprite,ANIME_TYCOON_WORKERS_PACK.zip,sprite-showrunner-producer.png,producer,showrunner,game_source/public/img/sprite-showrunner-producer.png,/img/sprite-showrunner-producer.png,replace,producer,Existing producer career,1,448,640,2f6ce94d5c0dcc9a6ca6d9eeb8872b6a3201ef934e9bae214f1ef1d4692973d5,runtime/game_source/public/img/sprite-showrunner-producer.png
showrunner portrait,ANIME_TYCOON_WORKERS_PACK.zip,portrait-showrunner-producer.png,producer,showrunner,game_source/public/img/portrait-showrunner-producer.png,/img/portrait-showrunner-producer.png,replace,producer,Existing producer career,1,224,224,ed7209a6ba04dcef5a5ac71ec3213bcc420ad6fea79a4eb130f5cb471261c619,runtime/game_source/public/img/portrait-showrunner-producer.png
