sequence,batch_code,batch_no,sheet_code,sheet_no,sheet_position,sheet_slot,character_id,filename_png,name,epithet,role,role_display,anime_type,anime_type_display,visible_genre_1,visible_genre_1_display,visible_genre_2,visible_genre_2_display,hidden_genre,hidden_genre_display,overt_hook,hidden_background_hint,coverage_edges_this_member,concept_brief
1,B01,1,S01,1,R1C1,1,g30_protag_shonen_001,g30_protag_shonen_001.png,Kael Alvarez,The Beast Underworld Titan Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,kaiju,Kaiju,A battle-ready lead concept that overtly sells Monster Taming x Crime.,"evacuation sirens, broken skyline, blast walls, giant footprints",crime+kaiju | crime+monster_taming | kaiju+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Resolute non-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: evacuation sirens, broken skyline, blast walls, giant footprints. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
2,B01,1,S01,1,R1C2,2,g30_protag_shonen_002,g30_protag_shonen_002.png,Kira Alvarez,The Beast Abyss Dune Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,cosmic_horror,Cosmic Horror,arabia,Arabia,A driven lead concept that overtly sells Monster Taming x Cosmic Horror.,"dune horizons, palace arches, mosaic tiles, brass lamps, caravan tents",arabia+cosmic_horror | arabia+monster_taming | cosmic_horror+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Kinetic human character blending partner-creature gear, capture tools, talismans, companion-bond energy with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: dune horizons, palace arches, mosaic tiles, brass lamps, caravan tents. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
3,B01,1,S01,1,R1C3,3,g30_protag_shonen_003,g30_protag_shonen_003.png,Leila Alvarez,The Underworld Abyss Gear Vanguard,protag,Lead,shonen,Shonen,crime,Crime,cosmic_horror,Cosmic Horror,mecha,Mecha,A fearless lead concept that overtly sells Crime x Cosmic Horror.,"hangar lights, pistons, warning stripes, giant silhouettes",cosmic_horror+crime | cosmic_horror+mecha | crime+mecha,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Battle-ready human character blending detective, gangster, police or heist aesthetics with urban grit with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: hangar lights, pistons, warning stripes, giant silhouettes. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
4,B01,1,S01,1,R1C4,4,g30_protag_shonen_004,g30_protag_shonen_004.png,Lina Alvarez,The Titan Dune Gear Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,arabia,Arabia,mecha,Mecha,A scrappy lead concept that overtly sells Kaiju x Arabia.,"hangar lights, pistons, warning stripes, giant silhouettes",arabia+kaiju | arabia+mecha | kaiju+mecha,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Driven demi-human character blending defence-force, monster-hunter or scaled-beast spectacle language with desert-sorcery, caravan, palace or djinn-adventure styling. Subtle background hint only: hangar lights, pistons, warning stripes, giant silhouettes. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
5,B01,1,S01,1,R1C5,5,g30_protag_shonen_005,g30_protag_shonen_005.png,Lucan Alvarez,The Underworld Dune Portal Vanguard,protag,Lead,shonen,Shonen,crime,Crime,arabia,Arabia,isekai,Isekai,A heroic lead concept that overtly sells Crime x Arabia.,"summoning circle, portal shards, floating UI sigils",arabia+crime | arabia+isekai | crime+isekai,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Fearless human character blending detective, gangster, police or heist aesthetics with urban grit with desert-sorcery, caravan, palace or djinn-adventure styling. Subtle background hint only: summoning circle, portal shards, floating UI sigils. Color accent idea: obsidian and red. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
6,B01,1,S01,1,R2C1,6,g30_protag_shonen_006,g30_protag_shonen_006.png,Mara Alvarez,The Titan Abyss Portal Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,isekai,Isekai,A hot-blooded lead concept that overtly sells Kaiju x Cosmic Horror.,"summoning circle, portal shards, floating UI sigils",cosmic_horror+isekai | cosmic_horror+kaiju | isekai+kaiju,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Scrappy non-human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: summoning circle, portal shards, floating UI sigils. Color accent idea: indigo and brass. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
7,B01,1,S01,1,R2C2,7,g30_protag_shonen_007,g30_protag_shonen_007.png,Mika Alvarez,The Beast Underworld Hearth Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,slice,Slice of Life,A resolute lead concept that overtly sells Monster Taming x Crime.,"warm domestic details, school corridor, café corner, laundry line",crime+monster_taming | crime+slice | monster_taming+slice,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Heroic human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: warm domestic details, school corridor, café corner, laundry line. Color accent idea: sand and turquoise. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
8,B01,1,S01,1,R2C3,8,g30_protag_shonen_008,g30_protag_shonen_008.png,Mina Alvarez,The Titan Abyss Hearth Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,slice,Slice of Life,A kinetic lead concept that overtly sells Kaiju x Cosmic Horror.,"warm domestic details, school corridor, café corner, laundry line",cosmic_horror+kaiju | cosmic_horror+slice | kaiju+slice,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Hot-blooded human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: warm domestic details, school corridor, café corner, laundry line. Color accent idea: violet and silver. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
9,B01,1,S01,1,R2C4,9,g30_protag_shonen_009,g30_protag_shonen_009.png,Nadia Alvarez,The Beast Underworld Terror Vanguard,protag,Lead,shonen,Shonen,monster_taming,Monster Taming,crime,Crime,horror,Horror,A battle-ready lead concept that overtly sells Monster Taming x Crime.,"medical curtains, abandoned halls, claw shadows, eerie green light",crime+horror | crime+monster_taming | horror+monster_taming,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Resolute demi-human character blending partner-creature gear, capture tools, talismans, companion-bond energy with detective, gangster, police or heist aesthetics with urban grit. Subtle background hint only: medical curtains, abandoned halls, claw shadows, eerie green light. Color accent idea: scarlet and gold. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
10,B01,1,S01,1,R2C5,10,g30_protag_shonen_010,g30_protag_shonen_010.png,Nao Alvarez,The Titan Abyss Terror Vanguard,protag,Lead,shonen,Shonen,kaiju,Kaiju,cosmic_horror,Cosmic Horror,horror,Horror,A driven lead concept that overtly sells Kaiju x Cosmic Horror.,"medical curtains, abandoned halls, claw shadows, eerie green light",cosmic_horror+horror | cosmic_horror+kaiju | horror+kaiju,"A dynamic frontline lead with a bold silhouette, action-forward pose and strong commercial hook. Kinetic human character blending defence-force, monster-hunter or scaled-beast spectacle language with occult, forbidden-text, cult or abyssal dread visuals. Subtle background hint only: medical curtains, abandoned halls, claw shadows, eerie green light. Color accent idea: navy and amber. Keep pose dynamic, anatomy clean, no extra limbs, and make the hidden genre read only as a subtle environment cue."
