poster_number,source_filename,slot_id,studio,anime_types,genres,family,img
"1","poster_001.png","toei_p001","Toe-i Animation","shonen","samurai|martial","toei-samurai-1","rival-posters/imported/toei_p001.png"
"2","poster_002.png","kyo_p002","Kyo-Hani","shojo","romance|fantasy","kyo-romance-1","rival-posters/imported/kyo_p002.png"
"3","poster_003.png","sunrise_p003","Sunnyrise","shonen","mecha|space","sunrise-mecha-1","rival-posters/imported/sunrise_p003.png"
"4","poster_004.png","kyo_p004","Kyo-Hani","shojo","romance|mystery","kyo-romance-1","rival-posters/imported/kyo_p004.png"
"5","poster_005.png","toei_p005","Toe-i Animation","shonen","pirate|martial","toei-pirate-1","rival-posters/imported/toei_p005.png"
"6","poster_006.png","madcap_p006","Madcap House","shojo","slice|romance","madcap-slice-1","rival-posters/imported/madcap_p006.png"
"7","poster_007.png","bones_p007","Boneworks","shonen|shojo","cyber|supernatural","bones-cyber-1","rival-posters/imported/bones_p007.png"
"8","poster_008.png","ttl_p008","Turtle Line","shojo","magical|romance","ttl-magical-1","rival-posters/imported/ttl_p008.png"
"9","poster_009.png","madcap_p009","Madcap House","shonen","fantasy|military","madcap-fantasy-1","rival-posters/imported/madcap_p009.png"
"10","poster_010.png","madcap_p010","Madcap House","shojo","slice|romance","madcap-slice-1","rival-posters/imported/madcap_p010.png"
"11","poster_011.png","sunrise_p011","Sunnyrise","shonen","cyber|samurai","sunrise-cyber-1","rival-posters/imported/sunrise_p011.png"
"12","poster_012.png","ttl_p012","Turtle Line","shojo","romance|idol","ttl-romance-1","rival-posters/imported/ttl_p012.png"
"13","poster_013.png","madcap_p013","Madcap House","shonen","fantasy|survival","madcap-fantasy-1","rival-posters/imported/madcap_p013.png"
"14","poster_014.png","kyo_p014","Kyo-Hani","shojo","romance|mystery","kyo-romance-1","rival-posters/imported/kyo_p014.png"
"15","poster_015.png","sunrise_p015","Sunnyrise","shonen","military|mecha","sunrise-military-1","rival-posters/imported/sunrise_p015.png"
"16","poster_016.png","kyo_p016","Kyo-Hani","shojo","fantasy|romance","kyo-fantasy-1","rival-posters/imported/kyo_p016.png"
"17","poster_017.png","toei_p017","Toe-i Animation","shonen","martial|sports","toei-martial-1","rival-posters/imported/toei_p017.png"
"18","poster_018.png","bones_p018","Boneworks","shojo","horror|romance","bones-horror-1","rival-posters/imported/bones_p018.png"
"19","poster_019.png","toei_p019","Toe-i Animation","shonen","pirate|fantasy","toei-pirate-1","rival-posters/imported/toei_p019.png"
"20","poster_020.png","ttl_p020","Turtle Line","shojo","idol|magical","ttl-idol-1","rival-posters/imported/ttl_p020.png"
"21","poster_021.png","sunrise_p021","Sunnyrise","shonen","mecha|space","sunrise-mecha-1","rival-posters/imported/sunrise_p021.png"
"22","poster_022.png","kyo_p022","Kyo-Hani","shojo","romance|nordic","kyo-romance-2","rival-posters/imported/kyo_p022.png"
"23","poster_023.png","madcap_p023","Madcap House","shonen","martial|comedy","","rival-posters/imported/madcap_p023.png"
"24","poster_024.png","ttl_p024","Turtle Line","shojo","magical|fantasy","ttl-magical-1","rival-posters/imported/ttl_p024.png"
"25","poster_025.png","sunrise_p025","Sunnyrise","shonen","mecha|space","sunrise-mecha-1","rival-posters/imported/sunrise_p025.png"
"26","poster_026.png","ttl_p026","Turtle Line","shojo","romance|slice","ttl-romance-1","rival-posters/imported/ttl_p026.png"
"27","poster_027.png","madcap_p027","Madcap House","shonen","fantasy|survival","madcap-fantasy-1","rival-posters/imported/madcap_p027.png"
"28","poster_028.png","madcap_p028","Madcap House","shojo","slice|romance","madcap-slice-1","rival-posters/imported/madcap_p028.png"
"29","poster_029.png","bones_p029","Boneworks","shonen|shojo","cyber|supernatural","bones-cyber-1","rival-posters/imported/bones_p029.png"
"30","poster_030.png","kyo_p030","Kyo-Hani","shojo","romance|fantasy","kyo-romance-2","rival-posters/imported/kyo_p030.png"
"31","poster_031.png","toei_p031","Toe-i Animation","shonen","martial|supernatural","toei-martial-1","rival-posters/imported/toei_p031.png"
"32","poster_032.png","kyo_p032","Kyo-Hani","shojo","romance|mystery","kyo-romance-2","rival-posters/imported/kyo_p032.png"
"33","poster_033.png","sunrise_p033","Sunnyrise","shonen","sports|cyber","sunrise-sports-1","rival-posters/imported/sunrise_p033.png"
"34","poster_034.png","ttl_p034","Turtle Line","shojo","romance|idol","ttl-romance-1","rival-posters/imported/ttl_p034.png"
"35","poster_035.png","madcap_p035","Madcap House","shonen|shojo","sports|slice","madcap-sports-1","rival-posters/imported/madcap_p035.png"
"36","poster_036.png","kyo_p036","Kyo-Hani","shojo","romance|fantasy","kyo-romance-3","rival-posters/imported/kyo_p036.png"
"37","poster_037.png","sunrise_p037","Sunnyrise","shonen","cyber|samurai","sunrise-cyber-1","rival-posters/imported/sunrise_p037.png"
"38","poster_038.png","ttl_p038","Turtle Line","shojo","magical|idol","ttl-magical-1","rival-posters/imported/ttl_p038.png"
"39","poster_039.png","madcap_p039","Madcap House","shonen","fantasy|survival","madcap-fantasy-2","rival-posters/imported/madcap_p039.png"
"40","poster_040.png","ttl_p040","Turtle Line","shojo","space|idol","","rival-posters/imported/ttl_p040.png"
"41","poster_041.png","sunrise_p041","Sunnyrise","shonen","military|cyber","sunrise-military-1","rival-posters/imported/sunrise_p041.png"
"42","poster_042.png","kyo_p042","Kyo-Hani","shojo","slice|romance","kyo-slice-1","rival-posters/imported/kyo_p042.png"
"43","poster_043.png","bones_p043","Boneworks","shonen|shojo","supernatural|horror","bones-supernatural-1","rival-posters/imported/bones_p043.png"
"44","poster_044.png","kyo_p044","Kyo-Hani","shojo","romance|slice","kyo-romance-3","rival-posters/imported/kyo_p044.png"
"45","poster_045.png","sunrise_p045","Sunnyrise","shonen","mecha|space","sunrise-mecha-2","rival-posters/imported/sunrise_p045.png"
"46","poster_046.png","kyo_p046","Kyo-Hani","shojo","romance|mystery","kyo-romance-3","rival-posters/imported/kyo_p046.png"
"47","poster_047.png","bones_p047","Boneworks","shonen|shojo","horror|mystery","bones-horror-1","rival-posters/imported/bones_p047.png"
"48","poster_048.png","kyo_p048","Kyo-Hani","shojo","mythology|romance","","rival-posters/imported/kyo_p048.png"
"49","poster_049.png","toei_p049","Toe-i Animation","shonen","samurai|fantasy","toei-samurai-1","rival-posters/imported/toei_p049.png"
"50","poster_050.png","ttl_p050","Turtle Line","shojo","romance|slice","ttl-romance-2","rival-posters/imported/ttl_p050.png"
"51","poster_051.png","sunrise_p051","Sunnyrise","shonen","mecha|space","sunrise-mecha-2","rival-posters/imported/sunrise_p051.png"
"52","poster_052.png","kyo_p052","Kyo-Hani","shojo","fantasy|romance","kyo-fantasy-1","rival-posters/imported/kyo_p052.png"
"53","poster_053.png","bones_p053","Boneworks","shonen","supernatural|martial","bones-supernatural-1","rival-posters/imported/bones_p053.png"
"54","poster_054.png","ttl_p054","Turtle Line","shojo","mythology|romance","ttl-mythology-1","rival-posters/imported/ttl_p054.png"
"55","poster_055.png","bones_p055","Boneworks","shonen|shojo","cyber|supernatural","bones-cyber-1","rival-posters/imported/bones_p055.png"
"56","poster_056.png","bones_p056","Boneworks","shojo","horror|romance","bones-horror-1","rival-posters/imported/bones_p056.png"
"57","poster_057.png","toei_p057","Toe-i Animation","shonen","mecha|military","toei-mecha-1","rival-posters/imported/toei_p057.png"
"58","poster_058.png","madcap_p058","Madcap House","shojo","slice|romance","madcap-slice-2","rival-posters/imported/madcap_p058.png"
"59","poster_059.png","madcap_p059","Madcap House","shonen","fantasy|martial","madcap-fantasy-2","rival-posters/imported/madcap_p059.png"
"60","poster_060.png","kyo_p060","Kyo-Hani","shojo","slice|romance","kyo-slice-1","rival-posters/imported/kyo_p060.png"
"61","poster_061.png","bones_p061","Boneworks","shonen|shojo","cyber|mystery","bones-cyber-2","rival-posters/imported/bones_p061.png"
"62","poster_062.png","kyo_p062","Kyo-Hani","shojo","fantasy|romance","kyo-fantasy-1","rival-posters/imported/kyo_p062.png"
"63","poster_063.png","madcap_p063","Madcap House","shonen|shojo","fantasy|space","madcap-fantasy-2","rival-posters/imported/madcap_p063.png"
"64","poster_064.png","kyo_p064","Kyo-Hani","shojo","romance|mystery","kyo-romance-4","rival-posters/imported/kyo_p064.png"
"65","poster_065.png","sunrise_p065","Sunnyrise","shonen","cyber|sports","sunrise-cyber-1","rival-posters/imported/sunrise_p065.png"
"66","poster_066.png","sunrise_p066","Sunnyrise","shojo","space|romance","sunrise-space-1","rival-posters/imported/sunrise_p066.png"
"67","poster_067.png","toei_p067","Toe-i Animation","shonen","samurai|martial","toei-samurai-1","rival-posters/imported/toei_p067.png"
"68","poster_068.png","madcap_p068","Madcap House","shojo","slice|comedy","madcap-slice-2","rival-posters/imported/madcap_p068.png"
"69","poster_069.png","bones_p069","Boneworks","shonen|shojo","cyber|supernatural","bones-cyber-2","rival-posters/imported/bones_p069.png"
"70","poster_070.png","toei_p070","Toe-i Animation","shonen|shojo","samurai|romance","toei-samurai-2","rival-posters/imported/toei_p070.png"
"71","poster_071.png","toei_p071","Toe-i Animation","shonen","sports|martial","toei-sports-1","rival-posters/imported/toei_p071.png"
"72","poster_072.png","bones_p072","Boneworks","shojo","horror|romance","bones-horror-2","rival-posters/imported/bones_p072.png"
"73","poster_073.png","bones_p073","Boneworks","shonen","survival|fantasy","bones-survival-1","rival-posters/imported/bones_p073.png"
"74","poster_074.png","ttl_p074","Turtle Line","shojo","magical|romance","ttl-magical-2","rival-posters/imported/ttl_p074.png"
"75","poster_075.png","toei_p075","Toe-i Animation","shonen","martial|sports","toei-martial-1","rival-posters/imported/toei_p075.png"
"76","poster_076.png","sunrise_p076","Sunnyrise","shojo","space|romance","sunrise-space-1","rival-posters/imported/sunrise_p076.png"
"77","poster_077.png","kyo_p077","Kyo-Hani","shonen|shojo","nordic|fantasy","kyo-nordic-1","rival-posters/imported/kyo_p077.png"
"78","poster_078.png","kyo_p078","Kyo-Hani","shojo","slice|romance","kyo-slice-1","rival-posters/imported/kyo_p078.png"
"79","poster_079.png","sunrise_p079","Sunnyrise","shonen","mecha|space","sunrise-mecha-2","rival-posters/imported/sunrise_p079.png"
"80","poster_080.png","ttl_p080","Turtle Line","shojo","idol|romance","ttl-idol-1","rival-posters/imported/ttl_p080.png"
