id,name,kind,filename,width,height,sha256,alpha_bbox,source_bbox,portrait_crop_relative_to_cutout,qc,future_runtime_path
steady,Genji Ashida,sprite,sprite-showrunner-steady.png,448,640,58190a65c5457fc0a68b140d00dba4f10216a91b966ec45f996b0363d82e1f7d,"(86, 26, 361, 628)","(166, 17, 853, 1522)",,APPROVED_INTEGRATED,game_source/public/img/sprite-showrunner-steady.png
steady,Genji Ashida,portrait,portrait-showrunner-steady.png,224,224,ea9f18d58600938bbef80037d24f9d4112e248d254c0d77605edd681b33a7b95,"(0, 0, 221, 224)","(166, 17, 853, 1522)","(42, -8, 644, 594)",APPROVED_INTEGRATED,game_source/public/img/portrait-showrunner-steady.png
operations,Elliot Mercer,sprite,sprite-showrunner-operations.png,448,640,b5a8497907a9373c27c16624d1a8fa827f1758420bf441d147bdf0fc953eada8,"(103, 26, 345, 628)","(205, 16, 808, 1518)",,APPROVED_INTEGRATED,game_source/public/img/sprite-showrunner-operations.png
operations,Elliot Mercer,portrait,portrait-showrunner-operations.png,224,224,a1a65a121e2c89b316bed1ecb67821f2a0d34896db3028f142767a3a10fa17cf,"(5, 1, 222, 224)","(205, 16, 808, 1518)","(1, -8, 602, 593)",APPROVED_INTEGRATED,game_source/public/img/portrait-showrunner-operations.png
franchise,Freja Lindholm,sprite,sprite-showrunner-franchise.png,448,640,b6a39a94e5cf21c1770f6ea7877be7fa191489a8dd5335ce664fba8acf099b40,"(122, 26, 326, 628)","(266, 26, 772, 1516)",,APPROVED_INTEGRATED,game_source/public/img/sprite-showrunner-franchise.png
franchise,Freja Lindholm,portrait,portrait-showrunner-franchise.png,224,224,6fe226bc4e2fe4682a461e2fbf98ed01935b8d16054fc4243059830c840acdc7,"(14, 0, 198, 224)","(266, 26, 772, 1516)","(-45, -8, 551, 588)",APPROVED_INTEGRATED,game_source/public/img/portrait-showrunner-franchise.png
mentor,Amara Okafor,sprite,sprite-showrunner-mentor.png,448,640,8c317f1c01785a940eb35b59288f130354b6e002f441620b285d93ae5a67f741,"(95, 26, 353, 628)","(203, 12, 849, 1520)",,APPROVED_INTEGRATED,game_source/public/img/sprite-showrunner-mentor.png
mentor,Amara Okafor,portrait,portrait-showrunner-mentor.png,224,224,4e3a2a1d6af44745cf7b079eb8af3059adf66668fb3c07b161f1dddfe1e9bc9f,"(1, 1, 205, 224)","(203, 12, 849, 1520)","(22, -8, 624, 595)",APPROVED_INTEGRATED,game_source/public/img/portrait-showrunner-mentor.png
research,Ravi Shah,sprite,sprite-showrunner-research.png,448,640,8f3d2d9fefa10c5a8254e2b0767331e1e0aeaf55627761ce886c0ab61b1752e4,"(99, 26, 349, 628)","(203, 18, 821, 1508)",,APPROVED_INTEGRATED,game_source/public/img/sprite-showrunner-research.png
research,Ravi Shah,portrait,portrait-showrunner-research.png,224,224,46928cbc7bfcad5e1a0ecc00ec829a83834b6bbf11acf91d58bc017e23cba62c,"(8, 0, 204, 224)","(203, 18, 821, 1508)","(11, -8, 607, 588)",APPROVED_INTEGRATED,game_source/public/img/portrait-showrunner-research.png
