n	id	studio	persona	animeTypes	genres	family
1	toei_p001	Toe-i Animation	blockbuster	shonen	samurai,martial	toei-samurai-1
2	kyo_p002	Kyo-Hani	prestige	shojo	romance,fantasy	kyo-romance-1
3	sunrise_p003	Sunnyrise	technical	shonen	mecha,space	sunrise-mecha-1
4	kyo_p004	Kyo-Hani	prestige	shojo	romance,mystery	kyo-romance-1
5	toei_p005	Toe-i Animation	blockbuster	shonen	pirate,martial	toei-pirate-1
6	madcap_p006	Madcap House	volume	shojo	slice,romance	madcap-slice-1
7	bones_p007	Boneworks	experimental	shonen,shojo	cyber,supernatural	bones-cyber-1
8	ttl_p008	Turtle Line	idol	shojo	magical,romance	ttl-magical-1
9	madcap_p009	Madcap House	volume	shonen	fantasy,military	madcap-fantasy-1
10	madcap_p010	Madcap House	volume	shojo	slice,romance	madcap-slice-1
11	sunrise_p011	Sunnyrise	technical	shonen	cyber,samurai	sunrise-cyber-1
12	ttl_p012	Turtle Line	idol	shojo	romance,idol	ttl-romance-1
13	madcap_p013	Madcap House	volume	shonen	fantasy,survival	madcap-fantasy-1
14	kyo_p014	Kyo-Hani	prestige	shojo	romance,mystery	kyo-romance-1
15	sunrise_p015	Sunnyrise	technical	shonen	military,mecha	sunrise-military-1
16	kyo_p016	Kyo-Hani	prestige	shojo	fantasy,romance	kyo-fantasy-1
17	toei_p017	Toe-i Animation	blockbuster	shonen	martial,sports	toei-martial-1
18	bones_p018	Boneworks	experimental	shojo	horror,romance	bones-horror-1
19	toei_p019	Toe-i Animation	blockbuster	shonen	pirate,fantasy	toei-pirate-1
20	ttl_p020	Turtle Line	idol	shojo	idol,magical	ttl-idol-1
21	sunrise_p021	Sunnyrise	technical	shonen	mecha,space	sunrise-mecha-1
22	kyo_p022	Kyo-Hani	prestige	shojo	romance,nordic	kyo-romance-2
23	madcap_p023	Madcap House	volume	shonen	martial,comedy	
24	ttl_p024	Turtle Line	idol	shojo	magical,fantasy	ttl-magical-1
25	sunrise_p025	Sunnyrise	technical	shonen	mecha,space	sunrise-mecha-1
26	ttl_p026	Turtle Line	idol	shojo	romance,slice	ttl-romance-1
27	madcap_p027	Madcap House	volume	shonen	fantasy,survival	madcap-fantasy-1
28	madcap_p028	Madcap House	volume	shojo	slice,romance	madcap-slice-1
29	bones_p029	Boneworks	experimental	shonen,shojo	cyber,supernatural	bones-cyber-1
30	kyo_p030	Kyo-Hani	prestige	shojo	romance,fantasy	kyo-romance-2
31	toei_p031	Toe-i Animation	blockbuster	shonen	martial,supernatural	toei-martial-1
32	kyo_p032	Kyo-Hani	prestige	shojo	romance,mystery	kyo-romance-2
33	sunrise_p033	Sunnyrise	technical	shonen	sports,cyber	sunrise-sports-1
34	ttl_p034	Turtle Line	idol	shojo	romance,idol	ttl-romance-1
35	madcap_p035	Madcap House	volume	shonen,shojo	sports,slice	madcap-sports-1
36	kyo_p036	Kyo-Hani	prestige	shojo	romance,fantasy	kyo-romance-3
37	sunrise_p037	Sunnyrise	technical	shonen	cyber,samurai	sunrise-cyber-1
38	ttl_p038	Turtle Line	idol	shojo	magical,idol	ttl-magical-1
39	madcap_p039	Madcap House	volume	shonen	fantasy,survival	madcap-fantasy-2
40	ttl_p040	Turtle Line	idol	shojo	space,idol	
41	sunrise_p041	Sunnyrise	technical	shonen	military,cyber	sunrise-military-1
42	kyo_p042	Kyo-Hani	prestige	shojo	slice,romance	kyo-slice-1
43	bones_p043	Boneworks	experimental	shonen,shojo	supernatural,horror	bones-supernatural-1
44	kyo_p044	Kyo-Hani	prestige	shojo	romance,slice	kyo-romance-3
45	sunrise_p045	Sunnyrise	technical	shonen	mecha,space	sunrise-mecha-2
46	kyo_p046	Kyo-Hani	prestige	shojo	romance,mystery	kyo-romance-3
47	bones_p047	Boneworks	experimental	shonen,shojo	horror,mystery	bones-horror-1
48	kyo_p048	Kyo-Hani	prestige	shojo	mythology,romance	
49	toei_p049	Toe-i Animation	blockbuster	shonen	samurai,fantasy	toei-samurai-1
50	ttl_p050	Turtle Line	idol	shojo	romance,slice	ttl-romance-2
51	sunrise_p051	Sunnyrise	technical	shonen	mecha,space	sunrise-mecha-2
52	kyo_p052	Kyo-Hani	prestige	shojo	fantasy,romance	kyo-fantasy-1
53	bones_p053	Boneworks	experimental	shonen	supernatural,martial	bones-supernatural-1
54	ttl_p054	Turtle Line	idol	shojo	mythology,romance	ttl-mythology-1
55	bones_p055	Boneworks	experimental	shonen,shojo	cyber,supernatural	bones-cyber-1
56	bones_p056	Boneworks	experimental	shojo	horror,romance	bones-horror-1
57	toei_p057	Toe-i Animation	blockbuster	shonen	mecha,military	toei-mecha-1
58	madcap_p058	Madcap House	volume	shojo	slice,romance	madcap-slice-2
59	madcap_p059	Madcap House	volume	shonen	fantasy,martial	madcap-fantasy-2
60	kyo_p060	Kyo-Hani	prestige	shojo	slice,romance	kyo-slice-1
61	bones_p061	Boneworks	experimental	shonen,shojo	cyber,mystery	bones-cyber-2
62	kyo_p062	Kyo-Hani	prestige	shojo	fantasy,romance	kyo-fantasy-1
63	madcap_p063	Madcap House	volume	shonen,shojo	fantasy,space	madcap-fantasy-2
64	kyo_p064	Kyo-Hani	prestige	shojo	romance,mystery	kyo-romance-4
65	sunrise_p065	Sunnyrise	technical	shonen	cyber,sports	sunrise-cyber-1
66	sunrise_p066	Sunnyrise	technical	shojo	space,romance	sunrise-space-1
67	toei_p067	Toe-i Animation	blockbuster	shonen	samurai,martial	toei-samurai-1
68	madcap_p068	Madcap House	volume	shojo	slice,comedy	madcap-slice-2
69	bones_p069	Boneworks	experimental	shonen,shojo	cyber,supernatural	bones-cyber-2
70	toei_p070	Toe-i Animation	blockbuster	shonen,shojo	samurai,romance	toei-samurai-2
71	toei_p071	Toe-i Animation	blockbuster	shonen	sports,martial	toei-sports-1
72	bones_p072	Boneworks	experimental	shojo	horror,romance	bones-horror-2
73	bones_p073	Boneworks	experimental	shonen	survival,fantasy	bones-survival-1
74	ttl_p074	Turtle Line	idol	shojo	magical,romance	ttl-magical-2
